B_Height_cms,B_Weight_lbs,B_avg_LEG_att,B_avg_SIG_STR_pct,gender,B_avg_CLINCH_att,B_age,R_Weight_lbs,B_win_by_Submission,B_avg_TOTAL_STR_att,R_avg_opp_HEAD_landed,R_avg_opp_CTRL_time(seconds),B_avg_opp_TOTAL_STR_landed,B_win_by_TKO_Doctor_Stoppage,R_avg_LEG_landed,B_avg_opp_CTRL_time(seconds),B_avg_LEG_landed,B_avg_HEAD_att,B_avg_TOTAL_STR_landed,B_avg_opp_GROUND_landed,B_Reach_cms
172.72,155.0,6.0,0.4599999999999999,1,2.0,29.0,170.0,0.0,61.0,30.0,65.0,48.5,1.0,23.0,163.0,5.5,40.0,27.0,1.0,175.26
165.1,125.0,22.0,0.425,1,31.0,28.0,125.0,0.0,200.5,21.25,74.375,104.0,0.0,8.875,84.0,14.0,88.0,116.5,0.0,162.56
185.42,185.0,1.0,0.42,1,3.0,30.0,170.0,0.0,29.0,23.96875,67.5,12.0,0.0,8.0,73.0,1.0,20.0,14.0,1.0,193.04
190.5,205.0,5.75,0.565,1,13.875,27.0,205.0,1.0,64.5,36.75,118.75,88.125,0.0,5.75,353.75,4.125,34.875,39.5,10.0,193.04
165.1,170.0,3.0,0.38,1,7.0,25.0,170.0,0.0,71.0,2.0,0.0,64.0,0.0,1.0,0.0,1.0,25.0,46.0,2.0,175.26
172.72,155.0,7.5,0.2875,1,3.0,29.0,155.0,0.0,65.5,20.5,60.0,44.0,0.0,1.0,189.75,3.5,53.390625,23.0,2.0,167.64
182.88,185.0,5.296875,0.59765625,1,8.1875,30.0,185.0,0.0,88.796875,20.5,157.5,59.96875,0.0,19.5,174.203125,4.515625,22.609375,64.828125,4.265625,187.96
190.5,185.0,1.4375,0.56625,1,9.9375,32.0,185.0,1.0,67.8125,6.125,7.625,24.625,0.0,8.75,226.3125,1.4375,24.0,50.1875,5.75,190.5
180.34,145.0,3.0,0.3774999999999999,1,3.1005859375,27.0,155.0,0.0,39.0,25.7587890625,156.99462890625,36.0625,0.0,12.56103515625,75.5,2.625,30.5,28.578125,5.7734375,180.34
175.26,145.0,5.375,0.395,1,7.75,30.0,145.0,0.0,91.5,43.094669342041016,144.64298629760742,37.65625,0.0,3.889636993408203,59.601806640625,3.3125,66.984375,40.75,1.734375,177.8
190.5,170.0,6.0,0.4,1,1.5,28.0,170.0,0.0,105.0,15.0,211.1094970703125,37.0,0.0,1.0,32.0,5.5,90.0,44.5,0.0,195.58
175.26,155.0,14.3125,0.46375,1,18.0,33.0,155.0,0.0,118.4375,26.1875,96.1875,38.625,0.0,12.75,73.375,12.8125,74.875,59.4375,0.5,180.34
162.56,125.0,8.0,0.59,1,21.0,28.0,125.0,0.0,117.75,16.0,294.5,46.0,0.0,2.0,517.0,5.0,86.34939455986023,80.07421875,3.0,165.1
167.64,125.0,10.2421875,0.5547656249999999,0,4.19140625,35.0,125.0,0.0,103.140625,4.8984375,32.09375,66.87890625,0.0,8.515625,142.578125,8.2734375,30.390625,81.0546875,9.91796875,167.64
185.42,205.0,12.0,0.4971875,1,7.265625,31.0,205.0,1.0,112.875,15.7890625,33.2890625,23.59375,0.0,14.4609375,107.453125,10.09375,58.171875,69.8125,2.9375,187.96
167.64,145.0,13.0625,0.648125,1,19.0625,30.0,145.0,0.0,143.125,9.270263671875,2.9853515625,55.375,0.0,2.715576171875,46.125,12.125,105.0,96.875,1.875,180.34
170.18,140.0,5.0,0.61,1,25.0,28.0,145.0,0.0,68.0,5.75,88.75,22.0,0.0,0.0,393.0,4.0,27.0,46.0,2.0,172.72
170.18,135.0,2.0,0.5,1,14.0,27.0,135.0,1.0,130.0,36.25,44.375,18.0,0.0,6.625,90.0,2.0,81.0,83.0,3.0,177.8
187.96,225.0,3.04296875,0.495,1,2.25,33.0,238.0,0.0,165.5,6.75,11.5,29.0,0.0,2.0,142.015625,3.0,97.75,103.5625,5.0,195.58
170.18,155.0,4.0,0.17,1,1.0,31.0,145.0,0.0,116.0,17.0078125,286.0546875,74.0,0.0,16.8515625,105.0,0.0,84.0,20.0,6.0,177.8
182.88,170.0,2.375,0.641875,1,11.625,29.0,170.0,1.0,78.8125,9.40625,89.59375,41.75,0.0,2.734375,249.25,1.3125,45.375,56.0,1.6875,190.5
182.88,170.0,5.953125,0.4246875,1,6.015625,29.0,170.0,2.0,57.890625,23.25,14.25,28.546875,0.0,1.5,80.5078125,4.7265625,35.5703125,27.4765625,3.9921875,193.04
187.96,183.0,0.0,0.52,1,2.0,35.0,205.0,1.0,37.0,1.8125,40.75,1.0,0.0,6.4375,12.0,0.0,20.0,23.0,0.0,190.5
190.5,260.0,0.5,0.54,1,4.5,27.0,250.0,0.0,94.0,7.75,65.75,7.5,0.0,0.5,1.5,0.5,88.0,28.0,0.0,198.12
187.96,170.0,11.03759765625,0.35,1,7.0625,25.0,170.0,0.0,70.5,8.5,96.1875,95.84375,0.0,0.375,509.0,8.0,33.625,38.53125,7.03125,193.04
180.34,205.0,4.0,0.35,1,3.890625,29.0,185.0,0.0,74.73125457763672,8.53125,3.109375,57.0,0.0,1.6875,152.66015625,3.0,41.78125,27.1875,7.0,180.34
182.88,200.0,3.25,0.64,1,14.0,27.0,245.0,0.0,78.5,14.533203125,159.0703125,75.0,0.0,3.5,220.125,3.5,39.5,64.0,6.0,190.5
167.64,135.0,13.0,0.68,1,6.0,26.0,145.0,0.0,129.0,15.0,32.0,50.0,0.0,13.0,217.0,12.0,28.0,97.0,7.0,170.18
175.26,135.0,13.0625,0.51,0,23.6875,34.0,135.0,0.0,138.3125,42.60546875,268.83984375,76.625,0.0,4.80078125,307.6875,10.5,60.9375,86.8125,0.875,180.34
182.88,185.0,2.0,0.11,1,0.0,30.0,185.0,0.0,9.0,10.5,55.0,28.0,0.0,13.0,150.0,1.0,7.0,1.0,15.0,182.88
175.26,185.0,0.0,0.63,1,1.0,31.0,185.0,1.0,61.0,12.5,2.0,39.0,0.0,0.5,84.0,0.0,40.5,30.0,8.5,185.42
