weight_class,B_avg_opp_SIG_STR_att,B_avg_TOTAL_STR_att,B_avg_opp_TOTAL_STR_att,B_avg_opp_HEAD_att,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_DISTANCE_att,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_win_by_KO/TKO,B_Height_cms,B_Weight_lbs,R_avg_opp_SIG_STR_att,R_avg_opp_TOTAL_STR_att,R_avg_BODY_att,R_avg_opp_BODY_att,R_avg_opp_BODY_landed,R_avg_DISTANCE_att,R_avg_opp_DISTANCE_att,R_win_by_KO/TKO,R_Height_cms,R_Reach_cms,R_Weight_lbs,gender,B_Reach_cms
7.0,2.9311937524164198,4.882801922586371,4.029806041084529,2.740840023925201,1.252762968495368,1.0116009116784799,3.6826098411003407,2.505525936990736,1.6582280766035324,0.0,5.8027224225111045,5.655991810819852,3.488902962081261,4.375757021660286,2.2512917986064953,1.3217558399823195,1.1786549963416462,2.463853240590168,2.583997552432231,0.6931471805599453,5.795023781753144,5.817944146267096,5.655991810819852,1.0,5.8027224225111045
6.0,4.060443010546419,4.77912349311153,4.343805421853684,3.8066624897703196,1.6094379124341003,0.6931471805599453,4.356708826689592,3.9889840465642745,1.6094379124341003,0.0,5.832937638879745,5.655991810819852,3.236224463202814,3.78205667896812,1.3705460041517514,1.640209571100854,1.1977031913123406,2.5816362762465515,2.3807028722579977,0.0,5.810362246718757,5.84035091743822,5.655991810819852,1.0,5.832937638879745
6.0,4.099280278177947,4.515142902083354,4.1521465767770405,3.787557535710226,2.3057052203302892,1.629546865356814,4.271771346639327,3.948234387390718,3.058193443177727,0.6931471805599453,5.8027224225111045,5.655991810819852,3.7013019741124933,4.0163830207523885,0.0,0.6931471805599453,0.6931471805599453,2.6390573296152584,2.3513752571634776,0.6931471805599453,5.825468992912801,5.847709643462844,5.655991810819852,1.0,5.78726541179471
7.0,4.30554204251791,4.176308500073531,4.417333448506026,4.19958003382262,1.5040773967762742,1.4469189829363254,4.104449584080295,4.2720984112375,3.1023420086122493,0.0,5.78726541179471,5.655991810819852,2.772588722239781,2.9575110607337933,1.7707060600302227,1.2878542883066382,1.0986122886681098,1.927891643552635,2.12525107771113,1.0986122886681098,5.810362246718757,5.825468992912801,5.707110264748875,1.0,5.78726541179471
6.0,2.302585092994046,2.0794415416798357,2.302585092994046,2.1972245773362196,0.0,0.0,2.0794415416798357,2.302585092994046,1.0986122886681098,0.6931471805599453,5.832937638879745,5.771441123130016,4.195320479562103,4.553876891600541,1.7707060600302227,1.927891643552635,1.8123787564307907,3.6888794541139363,3.8313551023606913,0.0,5.795023781753144,5.817944146267096,5.602118820879701,1.0,5.847709643462844
6.0,3.4011973816621555,3.367295829986474,3.9889840465642745,3.1354942159291497,1.9459101490553132,1.3862943611198906,2.5649493574615367,2.302585092994046,1.0986122886681098,0.0,5.832937638879745,5.655991810819852,3.751298285301321,3.8750515783649306,1.9896659190845556,1.2874109205671542,1.0596967849825183,3.300926619457776,3.551956108603936,1.791759469228055,5.8027224225111045,5.817944146267096,5.655991810819852,1.0,5.832937638879745
8.0,3.8394523125933104,3.7612001156935624,3.8607297110405954,3.5553480614894135,1.6094379124341003,1.0986122886681098,3.5409593240373143,3.7376696182833684,3.0204248861443626,0.6931471805599453,5.825468992912801,5.771441123130016,3.402555508469455,3.5024013214964613,1.7045705196551655,0.7878801341421733,0.7216672532781384,3.1777486079910906,3.2708695574853603,1.3862943611198906,5.832937638879745,5.832937638879745,5.771441123130016,1.0,5.817944146267096
3.0,4.663439094112067,4.990432586778736,5.19295685089021,4.394449154672439,2.8903717578961645,2.772588722239781,4.442651256490317,4.219507705176107,3.4965075614664802,0.0,5.763622475012218,5.5254529391317835,3.3586377672433594,3.392829131991639,1.9459101490553132,1.252762968495368,1.0986122886681098,3.8815637979434374,3.2188758248682006,0.6931471805599453,5.78726541179471,5.795023781753144,5.5254529391317835,1.0,5.763622475012218
3.0,4.448516375942715,4.787491742782046,4.600157644164547,3.970291913552122,3.3141860046725258,3.1986731175506815,3.979681653901961,3.901972669574645,3.091042453358316,0.0,5.78726541179471,5.5254529391317835,4.7664383335842135,4.923623917106626,2.6741486494265287,3.5409593240373143,3.1570004211501135,4.48863636973214,4.620058798481842,0.0,5.771565725958661,5.817944146267096,5.5254529391317835,1.0,5.78726541179471
1.0,4.841229962568847,4.949424563051359,4.871612661697449,4.570190467092065,2.207587364371766,1.76537271405486,4.825058444581629,4.813200099492253,3.880919260376812,0.0,5.755615623296219,5.484796933490655,4.722953221644475,4.871373226762748,3.7898553714539385,3.1986731175506815,2.833213344056216,4.857872539543846,4.45143608604605,0.0,5.771565725958661,5.763622475012218,5.442417710521793,0.0,5.73940698562913
