B_Height_cms,B_Weight_lbs,B_age,B_total_rounds_fought,R_Reach_cms,weight_class,B_longest_win_streak,R_age,R_Height_cms,R_Weight_lbs,R_avg_CTRL_time(seconds),B_avg_opp_CTRL_time(seconds),B_avg_CTRL_time(seconds),B_avg_LEG_landed,B_current_win_streak,R_avg_DISTANCE_landed,B_Stance_Orthodox,R_avg_TD_pct,B_avg_SIG_STR_pct,R_avg_opp_BODY_att,B_Reach_cms
167.64,125.0,34.0,24.0,167.64,2,2.0,31.0,165.1,125.0,323.796875,142.578125,283.0,8.2734375,0.0,25.734375,True,0.640675048828125,0.5547656249999999,18.9375,167.64
185.42,205.0,31.0,16.0,185.42,7,3.0,34.0,185.42,205.0,323.796875,107.453125,125.765625,10.09375,0.0,17.2734375,True,0.587578125,0.4971875,6.8203125,187.96
167.64,145.0,30.0,13.0,167.64,4,4.0,33.0,167.64,145.0,65.807861328125,46.125,283.0,11.0,3.0,7.33203125,True,0.0909667968749999,0.5864794921875001,6.268310546875,180.34
170.18,140.0,28.0,3.0,180.34,0,1.0,25.0,177.8,145.0,80.25,275.8466796875,283.0,4.0,1.0,3.0,False,0.55,0.5864794921875001,0.75,172.72
170.18,135.0,27.0,2.0,180.34,3,1.0,29.0,162.56,135.0,9.125,90.0,254.0,2.0,1.0,45.125,True,0.125,0.5,6.0,177.8
187.96,225.0,33.0,0.0,195.58,9,0.0,25.0,193.04,225.0,26.25,94.5,99.75,3.625,0.0,29.25,True,0.0,0.4499999999999999,4.5,195.58
170.18,155.0,31.0,3.0,172.72,5,0.0,26.0,167.64,145.0,52.546875,105.0,8.0,0.0,0.0,39.693359375,False,0.0719140625,0.17,7.07421875,177.8
182.88,170.0,29.0,11.0,187.96,6,3.0,33.0,182.88,170.0,323.796875,249.25,129.125,1.3125,1.0,13.921875,True,0.4684374999999999,0.5864794921875001,8.078125,190.5
182.88,170.0,29.0,12.0,190.5,6,2.0,28.0,180.34,170.0,47.25,80.5078125,26.5390625,4.7265625,1.0,42.5,True,0.0,0.4246875,18.9375,193.04
187.96,183.0,34.0,2.0,193.04,8,1.0,31.0,187.96,205.0,41.25,12.0,283.0,0.0,1.0,10.5625,True,0.0625,0.52,0.8125,182.88
190.5,225.0,27.0,4.0,195.58,9,1.0,26.0,195.58,225.0,323.796875,1.5,2.5,0.5,1.0,10.5,True,0.315,0.54,9.25,195.58
187.96,170.0,25.0,0.0,185.42,6,0.0,28.0,182.88,170.0,113.0625,94.5,99.75,3.625,0.0,0.9375,True,0.5825,0.4499999999999999,0.5625,182.88
180.34,205.0,29.0,0.0,195.58,8,0.0,30.0,187.96,185.0,48.0,94.5,99.75,3.625,0.0,9.90625,True,0.015625,0.4499999999999999,2.078125,180.34
182.88,200.0,29.0,0.0,182.88,10,0.0,29.0,193.04,225.0,104.125,94.5,99.75,3.625,0.0,18.25,True,0.25,0.4499999999999999,7.7141265869140625,182.88
167.64,135.0,26.0,3.0,167.64,4,1.0,26.0,167.64,145.0,323.796875,217.0,283.0,11.0,1.0,38.0,True,0.4,0.5864794921875001,3.0,170.18
175.26,135.0,34.0,12.0,170.18,3,3.0,30.0,170.18,135.0,218.359375,275.8466796875,42.5625,10.5,1.0,37.765625,True,0.426640625,0.51,18.9375,180.34
182.88,185.0,30.0,1.0,187.96,7,0.0,27.0,182.88,185.0,323.796875,150.0,0.0,1.0,0.0,28.5,True,0.640675048828125,0.11,8.5,182.88
