B_avg_TOTAL_STR_landed,B_avg_opp_TOTAL_STR_att,B_avg_DISTANCE_att,B_avg_opp_DISTANCE_att,B_avg_CLINCH_att,B_avg_opp_CLINCH_att,B_avg_opp_GROUND_att,B_avg_CTRL_time(seconds),B_avg_opp_CTRL_time(seconds),B_total_time_fought(seconds),B_Height_cms,B_Reach_cms,R_avg_opp_SIG_STR_landed,R_avg_opp_TD_landed,R_avg_DISTANCE_landed,R_avg_opp_DISTANCE_att,R_avg_CTRL_time(seconds),R_avg_opp_CTRL_time(seconds),R_total_time_fought(seconds),R_win_by_TKO_Doctor_Stoppage,R_Height_cms,R_Reach_cms
90.2685546875,101.99755859375,62.6553955078125,81.206787109375,2.517333984375,6.607177734375,6.3353271484375,208.4112548828125,14.5819091796875,785.1458740234375,185.42,193.04,27.865234375,0.3974609375,29.6328125,79.61328125,65.7353515625,114.3154296875,513.0224609375,0.0,187.96,187.96
7.0,4.0,18.0,4.0,0.0,0.0,0.0,20.0,0.0,44.0,172.72,180.33999999999997,42.0,0.5,14.0,56.5,113.5,173.5,669.0,0.0,175.26,182.88
66.0,196.0,149.0,169.0,7.0,9.0,1.0,2.0,178.0,900.0,170.18,167.64,47.5,1.375,34.5,67.125,250.5,133.375,679.625,0.0,167.64,172.72
84.4345703125,138.369140625,145.7705078125,123.7451171875,11.251953125,3.3154296875,8.8759765625,76.3173828125,52.9384765625,524.685546875,182.88,193.04,51.87809825828299,0.0078747571096755,41.04351044568466,85.17653621709906,55.65895830903901,4.790911136195064,594.3883661901345,0.0,185.42,185.42
37.875,62.3125,23.3125,22.3125,13.6875,7.0,15.5625,72.0625,197.8125,407.4375,170.18,172.72,21.03125,4.78125,18.21875,43.34375,107.28125,306.0,778.6875,0.0,167.64,180.34
51.4375,79.5,30.15625,26.59375,12.53125,8.21875,8.6875,113.90625,181.1875,429.1875,180.34,177.8,61.625,0.3125,37.875,121.6875,253.4375,43.4375,784.8125,0.0,167.64,167.64
65.125,76.0,36.0,50.6875,10.818359375,6.0703125,2.125,316.5390625,57.0,900.0,177.8,180.34,2.625,0.5,0.375,1.25,0.0,0.0,61.625,0.0,187.96,195.58
17.296875,34.875,30.421875,16.953125,2.046875,3.375,3.875,27.09375,105.8125,384.53125,190.5,203.2,62.765625,5.25,13.90625,107.5,34.265625,335.03125,896.015625,1.0,187.96,193.04
22.798828125,62.421875,40.529296875,53.375,2.30078125,1.912109375,0.466796875,59.65625,10.26953125,437.75,175.26,180.34,17.9375,0.25,55.90625,54.1875,209.0,56.90625,681.75,0.0,182.88,193.04
56.25,75.0,31.25,54.0,5.0,12.0,3.5,165.75,28.5,384.5,167.64,172.72,29.642578125,0.06787109375,21.175537109375,42.537353515625,579.478515625,58.34033203125,957.16943359375,0.0,172.72,175.26
39.2109375,47.0234375,14.71875,20.8203125,2.5625,10.453125,3.640625,416.203125,59.7265625,675.0234375,177.8,180.34,2.4375,0.765625,4.359375,4.1875,26.59375,39.34375,128.453125,1.0,175.26,180.34
0.0,6.0,3.0,3.0,0.0,1.0,2.0,0.0,0.0,81.0,172.72,185.42,35.5,0.0,13.34375,44.25,335.375,125.0,688.75,0.0,177.8,180.34
30.375,108.75,75.5,65.75,1.25,5.125,9.125,2.125,166.75,480.125,182.88,185.42,5.5,1.0,3.0,9.5,37.0,147.0,253.0,0.0,185.42,187.96
9.5,43.0,9.0,9.0,0.5,0.5,4.0,132.5,316.5,518.0,165.1,177.8,19.0,1.0,23.0,41.0,268.0,157.0,665.0,0.0,172.72,175.26
32.48046875,76.2421875,52.48046875,66.51953125,8.9609375,5.15234375,1.4609375,87.0078125,43.140625,556.2421875,177.8,180.34,12.733154296875,1.212646484375,6.7479248046875,10.8387451171875,142.5467529296875,178.2965087890625,422.8668212890625,0.0,180.34,193.04
42.0,122.0,96.0,119.0,6.0,0.0,0.0,70.0,0.0,442.0,175.26,180.34,62.625,0.06396484375,81.0048828125,189.48388671875,57.064453125,12.43798828125,809.58154296875,0.0,172.72,172.72
45.5,47.0,45.0,34.0,8.1875,9.0,0.0,177.625,74.98828125,442.5,177.8,187.96,36.5,1.0,9.25,60.75,451.75,73.0,820.5,0.0,170.18,177.8
39.5,81.5,49.0,58.54551696777344,8.0,4.75,2.4903564453125,33.54150390625,90.0,282.0,182.88,187.96,5.0625,1.125,2.375,6.875,30.0,187.1875,298.9375,0.0,172.72,180.34
39.5,104.5,31.0,38.0,2.0,4.5,20.0,341.0,291.5,879.5,170.18,175.26,17.25,0.6875,14.9375,41.5625,16.25,70.6875,459.625,0.0,170.18,180.34
17.75,41.5,21.5,41.25,1.25,0.0,0.0,62.5,1.5,257.75,177.8,182.88,23.0,0.75,11.125,50.5,145.125,108.25,748.875,1.0,172.72,185.42
70.5,124.75,84.0,68.5,13.25,11.75,4.0,223.25,200.75,900.0,160.02,162.56,38.5,0.25,33.75,64.75,147.0,127.25,735.0,0.0,170.18,175.26
32.8125,117.68899536132812,23.3125,51.0,7.0,11.0,0.5,68.88192749023438,222.0,465.220947265625,193.04,203.2,59.0625,3.34375,47.8125,166.625,5.28125,263.46875,858.78125,0.0,180.34,175.26
109.2265625,62.5546875,30.796875,26.4375,1.96875,4.1953125,5.65625,233.375,235.5625,649.953125,170.18,175.26,85.869873046875,0.180023193359375,93.78362274169922,176.03866577148438,46.94403839111328,20.29485321044922,816.6355133056641,0.0,172.72,177.8
16.46875,90.0703125,50.5546875,40.6796875,3.9609375,2.59375,9.2578125,9.453125,230.890625,857.0078125,193.04,210.82,15.359375,0.046875,10.203125,28.296875,426.046875,5.390625,746.3125,1.0,193.04,203.2
94.625,109.9326171875,83.1689453125,63.4423828125,33.306640625,18.5546875,5.5009765625,63.6435546875,300.8759765625,723.0419921875,180.34,182.88,63.625,0.71875,69.15625,145.375,74.6875,103.71875,718.25,0.0,177.8,177.8
66.75,88.125,70.75,64.875,12.25,5.125,4.375,59.375,132.125,532.0,165.1,167.64,60.1875,1.06640625,43.078125,116.58203125,41.94140625,133.13671875,691.46875,0.0,160.02,162.56
74.5587158203125,98.51280212402344,107.78575134277344,78.1810302734375,14.287399291992188,8.802627563476562,2.422592163085937,157.26841735839844,46.30836486816406,564.3668823242188,175.26,182.88,33.8125,0.0,17.9375,71.0625,107.25,39.3125,524.25,0.0,175.26,175.26
12.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,105.0,175.26,180.34,5.5,0.5,0.0,1.0,0.0,0.0,202.0,0.0,182.88,182.88
93.84375,125.0,15.0,66.5625,4.5,7.3408203125,3.0,290.5,0.375,900.0,182.88,193.04,17.5625,0.03125,5.625,22.46875,442.125,75.9375,673.625,0.0,185.42,193.04
46.6044921875,77.25,56.0,52.8046875,1.875,1.0,2.75,158.125,99.0,384.5,185.42,193.04,20.375,0.6875,8.6875,25.75,172.15625,84.375,419.625,0.0,180.34,182.88
55.375,105.0,124.0,94.0,6.25,4.5,2.375,17.0,48.625,825.0,180.34,182.88,26.78748321533203,0.5189361572265625,13.906402587890623,39.17828369140625,30.53379821777344,64.05998992919922,337.52723693847656,0.0,177.8,182.88
102.0,283.0,182.0,235.0,22.0,35.0,0.0,36.0,29.0,900.0,160.02,165.1,52.5,0.0,29.0,61.5,87.0,47.0,348.0,0.0,162.56,165.1
44.0,161.0,29.0,26.0,3.0,9.0,40.0,2.0,640.0,900.0,180.34,185.42,71.0,5.0,9.0,52.0,78.0,623.0,900.0,0.0,177.8,180.34
40.328125,50.6875,44.0,27.90625,1.5,3.5,6.0,233.0,245.0,446.6875,172.72,172.72,34.0,3.0,13.34375,92.567138671875,368.9375,157.5,876.40625,0.0,172.72,175.26
27.0,69.0,40.5,28.5,2.0,2.0,2.0,114.0,163.0,600.0,172.72,175.26,45.0,2.0,64.0,111.0,14.0,65.0,900.0,0.0,177.8,180.34
116.5,172.0,97.5,116.0,31.0,33.0,0.0,205.5,84.0,900.0,165.1,162.56,49.125,2.5,32.0,79.75,174.25,74.375,1052.75,0.0,162.56,165.1
14.0,20.0,18.0,17.0,3.0,0.0,1.0,40.0,73.0,227.0,185.42,193.04,42.75,2.1875,21.220458984375,89.53076171875,199.4765625,189.77734375,475.21875,0.0,185.42,182.88
39.5,134.625,33.875,50.875,13.875,9.875,12.625,93.25,353.75,696.5,190.5,193.04,48.0,0.25,34.5,75.75,147.25,118.75,845.5,0.0,185.42,190.5
46.0,74.0,2.0,12.0,7.0,13.0,2.0,0.0,0.0,900.0,165.1,172.72,12.5,0.5,6.5,12.5,0.0,0.0,922.5,0.0,167.64,167.64
35.265625,120.369140625,41.0,80.75,16.25,16.0,16.5,26.0,90.5,497.8571592569351,172.72,185.42,41.5,1.1875,21.0,72.0,18.0,104.375,900.0,0.0,172.72,175.26
64.828125,97.015625,24.859375,38.15625,8.1875,11.484375,9.296875,330.15625,174.203125,751.921875,182.88,187.96,29.0,3.0,33.0,56.5,271.5,157.5,856.5,0.0,182.88,187.96
50.1875,39.75,5.0625,7.6875,9.9375,7.6875,9.5625,141.0625,226.3125,441.6875,190.5,190.5,12.125,0.375,14.25,35.375,80.5,7.625,315.625,0.0,185.42,193.04
46.6044921875,117.4375,65.125,92.82275390625,3.234375,25.359375,5.0,12.75,218.0,837.125,180.34,180.34,40.47900390625,2.20458984375,12.86767578125,72.5224609375,377.861328125,156.99462890625,868.38818359375,0.0,172.72,190.5
20.65625,81.6640625,40.5,41.0,2.0,1.9264483451843264,4.0,162.5,48.5,445.171875,175.26,177.8,65.87569808959961,1.8384857177734373,60.22970199584961,167.82717514038086,47.58990859985352,144.64298629760742,856.373176574707,1.0,177.8,185.42
44.5,87.5,97.0,78.5,1.5,0.0,0.5,7.5,32.0,389.0,190.5,195.58,20.375,4.265625,28.5,65.6875,236.5,163.0,650.75,0.0,177.8,177.8
59.4375,83.0,70.875,64.9375,18.0,5.375,0.5,274.1875,73.375,824.0,175.26,180.34,39.8125,0.4375,46.0625,107.5625,80.0625,96.1875,771.375,0.0,177.8,185.42
33.0,42.12109375,34.9375,25.25,1.0,0.90625,14.375,119.0,132.3125,565.1406917572021,162.56,165.1,25.5,1.5,12.0,34.5,1.0,294.5,512.0,0.0,175.26,172.72
81.0546875,136.4140625,36.90625,77.17578125,4.19140625,9.66796875,12.24609375,348.125,142.578125,896.1953125,167.64,167.64,28.328125,0.1796875,25.734375,78.171875,326.671875,32.09375,757.65625,0.0,165.1,167.64
69.8125,50.328125,50.109375,29.796875,7.265625,4.84375,4.59375,125.765625,107.453125,539.578125,185.42,187.96,21.3125,0.5625,17.2734375,42.4375,897.359375,33.2890625,1109.546875,0.0,185.42,185.42
96.875,120.125,76.375,97.25,19.0625,13.1875,1.875,321.1875,46.125,794.625,167.64,180.34,14.971435546875,0.0,7.33203125,36.043212890625,65.807861328125,2.9853515625,274.90283203125,0.0,167.64,167.64
46.0,40.0,23.0,14.0,25.0,19.0,2.0,384.0,393.0,900.0,170.18,172.72,9.25,0.25,3.0,15.25,80.25,88.75,222.5,0.0,177.8,180.34
83.0,55.0,46.0,47.0,14.0,4.0,3.0,254.0,90.0,599.0,170.18,177.8,43.625,0.5,45.125,80.5,9.125,44.375,483.5,0.0,162.56,180.34
31.0,96.88910675048828,46.4375,59.79829740524292,6.5,3.0625,2.25,33.8359375,190.5,534.0,187.96,195.58,12.5,0.0,29.25,21.5,26.25,11.5,393.75,0.0,193.04,195.58
20.0,210.0,115.0,172.0,1.0,5.0,9.0,8.0,105.0,772.0,170.18,177.8,27.03125,1.84375,39.693359375,84.01171875,52.546875,286.0546875,799.95703125,0.0,167.64,172.72
56.0,66.375,27.4375,28.125,11.625,4.1875,2.9375,129.125,249.25,529.875,182.88,190.5,22.390625,0.109375,13.921875,28.796875,504.265625,89.59375,822.203125,0.0,182.88,187.96
27.4765625,47.953125,37.1640625,33.9609375,6.015625,2.5234375,6.0078125,26.5390625,80.5078125,262.484375,182.88,193.04,39.5,0.0,42.5,116.5,47.25,14.25,587.75,0.0,180.34,190.5
23.0,7.0,1.0,5.0,2.0,0.0,1.0,290.0,12.0,331.0,187.96,198.12,3.1875,0.5,10.5625,6.5,41.25,40.75,383.125,1.0,187.96,193.04
28.0,23.0,87.0,22.5,4.5,0.0,0.0,2.5,1.5,381.0,190.5,198.12,18.25,0.0,10.5,18.5,346.75,65.75,513.75,0.0,195.58,200.66
71.0,253.0,61.125,66.125,2.067644596099853,3.5,49.0,58.0,18.0,496.0,187.96,198.12,9.5625,0.8125,0.9375,6.125,113.0625,96.1875,253.9375,1.0,182.88,185.42
37.0,95.0,54.125,47.875,0.0,0.171875,27.0,234.0,189.5,900.0,180.34,180.34,12.390625,0.0,9.90625,26.28125,48.0,3.109375,192.5625,0.0,187.96,195.58
32.0,107.0,40.8125,50.625,3.0,0.0,8.0,238.1162109375,412.0,537.0,182.88,190.5,38.5,3.46875,27.5,46.265625,372.25,122.4375,900.0,0.0,193.04,198.12
97.0,74.0,28.0,16.0,6.0,8.0,7.0,464.0,217.0,900.0,167.64,170.18,18.0,0.0,38.0,88.0,375.0,32.0,900.0,0.0,167.64,167.64
