weight_class,B_avg_SIG_STR_att,B_avg_opp_SIG_STR_att,B_avg_TOTAL_STR_att,B_avg_opp_TOTAL_STR_att,B_avg_opp_HEAD_att,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_opp_DISTANCE_att,B_win_by_KO/TKO,B_Height_cms,B_Weight_lbs,R_avg_SIG_STR_att,R_avg_opp_SIG_STR_att,R_avg_TOTAL_STR_att,R_avg_opp_TOTAL_STR_att,R_avg_BODY_att,R_avg_opp_BODY_att,R_avg_DISTANCE_att,R_avg_opp_DISTANCE_att,R_win_by_KO/TKO,R_Height_cms,R_Reach_cms,R_Weight_lbs,gender,B_Reach_cms
5.0,82.75,68.0,134.25,96.0,56.625,7.875,6.75,46.75,0.0,172.72,145.0,68.142578125,53.19140625,84.73828125,63.125,4.8134765625,5.037109375,60.787109375,48.505859375,1.0,167.64,172.72,145.0,1.0,172.72
6.0,101.0625,125.515625,108.828125,140.828125,98.15625,18.75,13.0,112.8337056040764,2.0,175.26,170.0,88.814453125,67.0625,109.8125,80.1875,20.125,4.0,80.5,64.71875,0.0,180.34,177.8,170.0,1.0,182.88
8.0,107.066650390625,94.1492919921875,145.6295166015625,101.99755859375,70.2197265625,18.75,11.4859619140625,81.206787109375,3.0,185.42,205.0,84.08984375,88.9560546875,107.2763671875,92.7451171875,10.6494140625,6.240234375,63.947265625,79.61328125,4.0,187.96,187.96,205.0,1.0,193.04
6.0,20.0,4.0,23.0,4.0,3.0,1.0,1.0,4.0,0.0,172.72,170.0,68.0,85.5,86.0,118.0,8.5,12.5,51.0,56.5,0.0,175.26,182.88,155.0,1.0,187.96
3.0,135.625,129.0,167.0,156.0,102.0,18.75,13.0,112.8337056040764,0.0,170.18,135.0,111.5,94.25,153.25,125.875,20.125,12.0,82.875,67.125,0.0,167.64,172.72,135.0,0.0,167.64
6.0,135.625,129.0,167.0,138.369140625,102.0,6.7900390625,4.625,112.8337056040764,3.0,182.88,170.0,106.9972240551724,92.87135523947654,107.11300926614786,103.28073050803503,14.80731493991334,13.856517162290402,103.17518012830988,85.17653621709906,4.0,185.42,185.42,155.0,1.0,193.04
5.0,43.0625,44.875,59.25,62.3125,37.6875,4.375,2.9375,22.3125,2.0,170.18,155.0,62.0,86.4375,120.71875,112.09375,4.46875,1.65625,46.53125,43.34375,1.0,167.64,180.34,155.0,1.0,172.72
4.0,53.3125,43.5,86.21875,79.5,30.53125,7.5,5.9375,26.59375,1.0,180.34,145.0,144.125,140.75,171.51318359375,153.625,14.5,16.625,124.5625,121.6875,0.0,167.64,167.64,155.0,1.0,177.8
10.0,66.25,53.671875,82.6104736328125,56.0625,44.625,11.60302734375,4.0,43.875,0.0,177.8,195.0,6.875,3.25,9.375,6.875,1.625,0.0,1.75,1.25,1.0,187.96,195.58,225.0,1.0,193.04
8.0,39.265625,24.203125,40.578125,34.875,17.125,2.09375,1.234375,16.953125,3.0,190.5,205.0,83.703125,140.75,92.65625,165.0,12.6875,14.8125,62.734375,107.5,1.0,187.96,193.04,205.0,1.0,195.58
6.0,48.59375,55.75390625,52.486328125,62.421875,42.357421875,3.73046875,2.265625,53.375,3.0,175.26,170.0,132.34375,61.875,146.9375,90.09375,20.125,5.0625,101.65625,54.1875,2.0,182.88,193.04,170.0,1.0,180.34
4.0,61.0,69.5,86.25,75.0,51.5,12.75,11.5,54.0,1.0,167.64,145.0,126.421630859375,59.16943359375,171.51318359375,112.607421875,8.9541015625,9.530517578125,52.5751953125,42.537353515625,4.0,172.72,175.26,145.0,0.0,172.72
5.0,22.828125,34.9140625,57.734375,47.0234375,22.140625,7.0703125,6.5625,20.8203125,0.0,177.8,155.0,17.65625,5.265625,18.03125,8.671875,0.484375,0.53125,10.296875,4.1875,3.0,175.26,180.34,155.0,1.0,180.34
5.0,3.0,6.0,3.0,6.0,3.0,3.0,3.0,3.0,0.0,172.72,155.0,86.60084277391434,137.078125,99.25,164.0,7.5625,19.1591796875,81.015625,122.688232421875,0.0,177.8,177.80000000000004,170.0,1.0,182.88
7.0,78.875,80.0,85.0,108.75,64.25,11.625,6.5,65.75,1.0,182.88,185.0,14.5,13.0,27.5,18.0,3.0,2.0,6.0,9.5,0.0,185.42,187.96,185.0,1.0,185.42
3.0,13.0,13.5,15.0,43.0,6.5,0.5,0.5,9.0,0.0,165.1,135.0,76.5,58.0,99.5,75.0,18.0,14.0,46.0,41.0,0.0,172.72,175.26,135.0,1.0,177.8
6.0,62.90625,73.1328125,64.06640625,76.2421875,52.75390625,11.45703125,7.7109375,66.51953125,3.0,177.8,170.0,41.5252685546875,19.1661376953125,54.760009765625,28.5537109375,6.12841796875,2.320556640625,12.7991943359375,10.8387451171875,4.0,180.34,193.04,170.0,1.0,180.34
5.0,110.0,119.0,112.0,122.0,92.0,18.75,13.0,112.8337056040764,0.0,175.26,155.0,144.125,140.75,170.55712890625,165.0,20.125,17.998046875,124.875,122.688232421875,3.0,172.72,172.72,155.0,1.0,180.34
5.0,90.0,46.75,93.0,60.0,38.6875,6.703125,4.5,43.875,0.0,177.8,155.0,71.75,80.75,130.75,108.25,7.75,9.5,36.0,60.75,0.0,170.18,177.8,155.0,1.0,187.96
7.0,66.5078125,49.5,78.25,113.0,41.75,4.0,3.0,38.125,0.0,182.88,185.0,14.3125,10.75,31.5625,25.4375,1.0,1.5,11.5625,6.875,2.0,172.72,180.34,185.0,1.0,190.5
3.0,44.0,62.5,62.0,104.5,50.5,7.0,6.0,38.0,0.0,170.18,135.0,50.4375,50.0625,52.375,60.9375,2.8125,6.4375,44.0625,41.5625,2.0,170.18,180.34,135.0,1.0,175.26
5.0,24.75,41.25,31.0,41.5,24.5,6.25,3.0,41.25,1.0,177.8,155.0,68.0,61.0,80.875,76.125,7.75,11.25,54.125,50.5,1.0,172.72,185.42,155.0,1.0,182.88
3.0,109.0,84.25,126.25,124.75,61.25,14.75,11.25,68.5,0.0,160.02,125.0,109.75,82.75,134.0,101.25,11.5,17.75,82.5,64.75,1.0,170.18,175.26,135.0,1.0,162.56
4.0,59.125,91.5,112.5,101.0,62.5,11.625,7.0,86.125,0.0,193.04,145.0,144.125,140.75,152.5,165.0,16.25,16.53125,124.875,122.688232421875,1.0,180.34,175.26,145.0,1.0,195.58
4.0,70.8515625,36.2890625,145.171875,62.5546875,25.8984375,7.953125,4.65625,26.4375,1.0,170.18,145.0,144.125,140.75,171.51318359375,165.0,20.125,12.385215759277344,124.875,122.688232421875,4.0,172.72,177.8,145.0,1.0,175.26
9.0,55.1640625,52.53125,59.4609375,90.0703125,31.046875,11.875,7.7734375,40.6796875,3.0,193.04,225.0,79.078125,32.828125,120.96875,50.140625,6.0,4.1875,41.515625,28.296875,2.0,193.04,195.58,225.0,1.0,195.58
6.0,121.2666015625,87.498046875,156.267578125,109.9326171875,72.9736328125,13.376953125,11.3515625,63.4423828125,0.0,180.34,170.0,144.125,140.75,171.51318359375,165.0,20.125,19.1591796875,124.875,122.688232421875,1.0,177.8,177.8,170.0,1.0,182.88
1.0,85.75,74.375,119.375,88.125,60.875,10.625,5.875,64.875,0.0,165.1,125.0,132.9765625,139.3046875,148.74609375,150.6796875,20.125,19.1591796875,113.05859375,116.58203125,0.0,160.02,162.56,115.0,0.0,167.64
5.0,130.583740234375,89.40625,145.54029846191406,98.51280212402344,66.53204345703125,12.626190185546877,11.102645874023438,78.1810302734375,3.0,175.26,155.0,63.875,84.3125,74.625,100.3125,11.375,11.3125,52.9375,71.0625,1.0,175.26,175.26,155.0,1.0,182.88
10.0,9.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,175.26,185.0,0.0,11.0,0.0,37.5,0.0,0.0,0.0,1.0,0.0,182.88,190.5,210.0,1.0,180.34
6.0,99.3125,100.75,113.75,133.951171875,78.25,18.75,10.5,86.375,0.0,182.88,170.0,79.46875,40.71875,139.75,67.1875,8.90625,4.46875,16.34375,22.46875,1.0,185.42,193.04,170.0,1.0,193.04
6.0,65.90625,85.25,72.0,123.5,49.0078125,12.5,8.90625,81.5,0.0,185.42,170.0,36.4375,39.46875,58.4375,51.0625,5.125,6.34375,23.65625,25.75,1.0,180.34,182.88,170.0,1.0,193.04
6.0,133.125,100.875,139.375,105.0,67.75,18.75,13.0,94.0,0.0,180.34,170.0,37.059661865234375,52.21650695800781,37.80207061767578,62.41909790039063,6.78363037109375,7.245780944824219,33.40337371826172,39.17828369140625,1.0,177.8,182.88,170.0,1.0,182.88
1.0,135.625,129.0,167.0,156.0,102.0,18.75,13.0,112.8337056040764,0.0,160.02,125.0,59.0,100.0,63.0,108.0,10.0,13.0,48.0,61.5,0.0,162.56,165.1,115.0,0.0,165.1
6.0,32.0,75.0,72.0,156.0,43.0,18.75,13.0,26.0,0.0,180.34,170.0,49.0,122.0,65.0,165.0,5.0,19.1591796875,39.0,52.0,0.0,177.8,182.88,170.0,1.0,185.42
4.0,95.1484375,50.125,143.8125,79.0,38.3125,11.0,5.59375,32.25,0.0,172.72,145.0,71.0,40.65625,83.6875,60.05810546875,5.303520679473877,7.56396484375,67.0,20.85546875,0.0,172.72,175.26,145.0,1.0,172.72
