weight_class,B_avg_SIG_STR_att,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_landed,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_avg_HEAD_att,B_avg_opp_HEAD_att,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_DISTANCE_att,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_total_time_fought(seconds),B_win_by_KO/TKO,B_Height_cms,B_Weight_lbs,R_avg_opp_TOTAL_STR_att,R_win_by_KO/TKO,R_Height_cms,R_Reach_cms,R_Weight_lbs,gender,B_Reach_cms
3.0,53.875,100.0625,39.9375,64.125,37.3125,126.8125,63.9375,42.5,79.4375,8.0,6.25,45.125,92.75,34.875,570.5625,1.0,170.18,135.0,68.0,0.0,167.64,162.56,135.0,1.0,175.26
5.0,102.5,109.9609375,34.765625,129.6015625,66.75,143.8125,62.1484375,82.2578125,90.2265625,13.546875,9.34375,61.8515625,86.3515625,24.75,837.28125,2.0,177.8,155.0,135.75,0.0,172.72,177.8,155.0,1.0,172.72
8.0,46.5,35.75,14.0,100.25,72.0,47.0,25.0,44.0,24.0,4.5,3.25,24.25,31.5,12.25,416.75,2.0,185.42,205.0,27.75,3.0,185.42,190.5,185.0,1.0,193.04
6.0,29.0,7.5,3.5,39.25,25.75,40.25,32.75,26.5,6.0,0.25,0.25,3.5,4.5,1.5,380.25,1.0,182.88,185.0,39.703369140625,3.0,175.26,185.42,170.0,1.0,177.8
6.0,115.0,54.0,28.0,128.0,58.0,84.0,56.0,82.0,44.0,8.0,5.0,107.0,43.0,19.0,900.0,0.0,182.88,170.0,86.81005859375,2.0,182.88,187.96,170.0,1.0,190.5
2.0,95.5,114.0,35.0,128.0,66.0,126.75,46.25,75.5,88.25,17.75,10.5,84.25,107.25,29.25,718.5,0.0,167.64,125.0,171.0352783203125,1.0,165.1,170.18,125.0,0.0,175.26
4.0,150.0,113.875,52.75,173.0,72.5,137.625,73.375,120.0,91.75,9.25,6.25,131.0,98.0,42.625,897.875,0.0,175.26,145.0,171.0352783203125,0.0,180.34,190.5,145.0,1.0,175.26
6.0,110.5,76.5,42.0,124.5,58.0,94.5,57.0,87.0,49.5,18.0,13.9281005859375,92.0,55.5,26.0,747.0,0.0,182.88,170.0,90.5,1.0,185.42,185.42,170.0,1.0,193.04
6.0,30.5,48.1875,22.0625,70.0,50.5625,86.25,56.6875,23.625,41.8125,3.375,2.3125,21.75,11.5625,4.0,689.875,0.0,180.34,170.0,17.5,1.0,182.88,177.8,185.0,1.0,172.72
5.0,150.0,143.0,42.66717529296875,177.611328125,96.509765625,165.625,67.04608154296875,120.0,111.79295480251312,20.05322265625,10.111663818359377,131.0,126.5,35.09303283691406,1352.8341217041016,4.0,175.26,155.0,171.0352783203125,1.0,167.64,172.72,135.0,1.0,177.8
3.0,69.75,91.25,24.0,70.5,25.75,101.75,34.0,51.25,79.0,5.75,3.5,68.25,85.25,18.25,588.5,1.0,170.18,135.0,56.25,1.0,170.18,180.34,135.0,1.0,180.34
