weight_class,B_avg_opp_SIG_STR_att,B_avg_TOTAL_STR_att,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_avg_opp_HEAD_att,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_win_by_KO/TKO,B_Height_cms,B_Weight_lbs,R_avg_opp_TOTAL_STR_att,R_avg_opp_BODY_att,R_win_by_KO/TKO,R_Height_cms,R_Reach_cms,R_Weight_lbs,gender
3.0,4.663439094112067,4.990432586778736,5.19295685089021,4.852030263919617,4.394449154672439,2.8903717578961645,2.772588722239781,4.219507705176107,3.4965075614664802,0.0,5.763622475012218,5.5254529391317835,3.392829131991639,1.252762968495368,0.6931471805599453,5.78726541179471,5.795023781753144,5.5254529391317835,1.0
3.0,4.448516375942715,4.787491742782046,4.600157644164547,4.127134385045092,3.970291913552122,3.3141860046725258,3.1986731175506815,3.901972669574645,3.091042453358316,0.0,5.78726541179471,5.5254529391317835,4.923623917106626,3.5409593240373143,0.0,5.771565725958661,5.817944146267096,5.5254529391317835,1.0
1.0,4.841229962568847,4.949424563051359,4.871612661697449,3.981432456800314,4.570190467092065,2.207587364371766,1.76537271405486,4.813200099492253,3.880919260376812,0.0,5.755615623296219,5.484796933490655,4.871373226762748,3.1986731175506815,0.0,5.771565725958661,5.763622475012218,5.442417710521793,0.0
7.0,4.174387269895637,4.5067301131748385,4.457250055911469,3.817712325956905,3.914519885626733,2.1289754768021125,1.791759469228055,3.8669602607912315,2.8606371589532857,0.0,5.8027224225111045,5.655991810819852,3.58351893845611,1.5040773967762742,0.0,5.817944146267096,5.84035091743822,5.707110264748875,1.0
6.0,4.174387269895637,4.5067301131748385,4.457250055911469,3.817712325956905,3.914519885626733,2.1289754768021125,1.791759469228055,3.8669602607912315,2.8606371589532857,0.0,5.817944146267096,5.655991810819852,2.774539942371043,0.723918839226699,1.0986122886681098,5.8027224225111045,5.825468992912801,5.655991810819852,1.0
4.0,4.169567983459689,4.447773684279853,4.370800526984506,3.8822280424903597,3.9055568322173575,2.382778029767241,2.0894619698595447,3.749653421395429,3.0461719322138396,0.0,5.8027224225111045,5.602118820879701,4.4049312549411574,1.857102567729482,0.6931471805599453,5.78726541179471,5.78726541179471,5.564520407322694,1.0
8.0,4.675162557808126,4.056123349401903,4.892227063045954,4.287028906051602,4.529907701487544,1.8718021769015913,1.791759469228055,4.353498551059343,3.4094961844768505,0.0,5.810362246718757,5.771441123130016,4.787491742782046,1.0986122886681098,0.0,5.84035091743822,5.817944146267096,5.771441123130016,1.0
1.0,4.22683374526818,4.945207488773801,4.248495242049359,3.1780538303479458,3.9889840465642745,2.3978952727983707,2.1972245773362196,4.127134385045092,2.803360380906535,0.0,5.755615623296219,5.442417710521793,5.210552865122289,3.6302608754873553,0.0,5.731203070232193,5.722931293494962,5.442417710521793,0.0
4.0,3.979681653901961,4.151039905898646,4.56954300834494,4.127134385045092,3.8918202981106265,1.0986122886681098,1.0986122886681098,3.7727609380946383,2.803360380906535,0.6931471805599453,5.78726541179471,5.564520407322694,3.411173496011309,1.5465646706155904,0.6931471805599453,5.779446378577191,5.755615623296219,5.564520407322694,1.0
3.0,4.795790545596741,4.852030263919617,4.867534450455582,3.8918202981106265,4.51085950651685,2.8903717578961645,2.1972245773362196,4.770684624465665,3.6375861597263857,0.0,5.763622475012218,5.5254529391317835,4.890349128221754,2.302585092994046,0.0,5.817944146267096,5.825468992912801,5.5254529391317835,1.0
1.0,3.784189633918261,4.705015520957808,4.0118683403978626,3.2386784521643803,3.56953269648137,1.55814461804655,0.9162907318741551,3.740641388672526,2.6119063405493077,0.0,5.74754414409507,5.484796933490655,5.027983932430868,2.6996819514316934,0.0,5.771565725958661,5.763622475012218,5.442417710521793,0.0
5.0,4.174387269895637,4.5067301131748385,4.457250055911469,3.817712325956905,3.914519885626733,2.1289754768021125,1.791759469228055,3.8669602607912315,2.8606371589532857,0.0,5.795023781753144,5.602118820879701,4.941642422609304,2.4849066497880004,0.0,5.795023781753144,5.8027224225111045,5.602118820879701,1.0
4.0,4.174387269895637,4.5067301131748385,4.457250055911469,3.817712325956905,3.914519885626733,2.1289754768021125,1.791759469228055,3.8669602607912315,2.8606371589532857,0.0,5.8027224225111045,5.564520407322694,3.258096538021482,0.0,0.0,5.795023781753144,5.817944146267096,5.564520407322694,1.0
6.0,4.269697449699962,5.181783550292085,4.579852378003801,3.817712325956905,3.9512437185814275,2.4423470353692043,2.1400661634962708,4.034240638152395,2.740840023925201,0.0,5.817944146267096,5.655991810819852,4.505349850705881,2.0794415416798357,0.6931471805599453,5.817944146267096,5.825468992912801,5.655991810819852,1.0
6.0,4.460144413937834,4.832305758571839,4.863680881139593,4.4942386252808095,4.2626798770413155,2.6741486494265287,2.6741486494265287,3.8815637979434374,2.833213344056216,0.0,5.8027224225111045,5.602118820879701,4.493695640076776,2.164945454433214,0.0,5.795023781753144,5.795023781753144,5.602118820879701,1.0
7.0,4.174387269895637,4.5067301131748385,4.457250055911469,3.817712325956905,3.914519885626733,2.1289754768021125,1.791759469228055,3.8669602607912315,2.8606371589532857,0.0,5.817944146267096,5.707110264748875,4.493695640076776,2.164945454433214,0.0,5.832937638879745,5.84035091743822,5.655991810819852,1.0
7.0,4.056123349401903,4.92180408038964,4.768563732896527,4.458698282087834,3.6888794541139363,2.2900063107871858,1.9636097261547143,3.8892660183055296,3.1570004211501135,0.6931471805599453,5.825468992912801,5.655991810819852,5.4116460518550396,2.9444389791664403,0.0,5.8622666086363004,5.855014613970084,5.707110264748875,1.0
5.0,4.23410650459726,4.907124917726591,4.574710978503383,3.9749978045895347,4.053956501316812,2.1832383353614797,2.0476928433652555,3.865979066926739,2.6567569067146595,0.0,5.78726541179471,5.564520407322694,4.160834303490933,1.7979253170926086,0.6931471805599453,5.771565725958661,5.78726541179471,5.564520407322694,1.0
6.0,4.840365818326442,4.698916643816234,4.954615937166955,4.134916525487147,4.596696888783469,3.0945872993248558,2.743859653798921,4.79268655965915,3.7848996090989537,1.0986122886681098,5.795023781753144,5.655991810819852,4.493695640076776,2.164945454433214,0.0,5.810362246718757,5.8027224225111045,5.655991810819852,1.0
