B_avg_TOTAL_STR_landed,B_avg_opp_TOTAL_STR_att,B_avg_HEAD_att,B_avg_DISTANCE_att,B_avg_CTRL_time(seconds),B_avg_opp_CTRL_time(seconds),B_total_time_fought(seconds),B_total_rounds_fought,B_Height_cms,B_Reach_cms,R_avg_opp_SIG_STR_landed,R_avg_HEAD_att,R_avg_DISTANCE_landed,R_avg_opp_DISTANCE_att,R_avg_opp_GROUND_landed,R_avg_CTRL_time(seconds),R_avg_opp_CTRL_time(seconds),R_total_time_fought(seconds),R_Height_cms,R_Reach_cms
55.375,105.0,106.25,115.609375,17.0,48.625,825.0,11.0,180.34,182.88,26.78748321533203,20.13001251220703,13.906402587890623,39.17828369140625,3.094589233398437,30.53379821777344,64.05998992919922,337.52723693847656,177.8,182.88
87.625,152.9375,106.25,115.609375,36.0,29.0,900.0,3.0,160.02,165.1,52.5,42.5,29.0,61.5,0.5,87.0,47.0,348.0,162.56,165.1
44.0,152.9375,27.0,29.0,2.0,275.8466796875,900.0,3.0,180.34,185.42,57.5,32.0,9.0,52.0,10.9375,78.0,276.0,900.0,177.8,182.88
48.0,85.25,51.125,48.375,99.75,94.5,638.5,0.0,172.72,172.72,27.818885803222656,54.0,18.25,50.296875,2.6875,104.125,89.53125,653.9375,172.72,175.26
27.0,69.0,40.0,40.5,114.0,163.0,600.0,4.0,172.72,175.26,45.0,114.0,47.5,111.0,0.0,14.0,65.0,900.0,177.8,180.34
87.625,152.9375,88.0,97.5,205.5,84.0,900.0,6.0,165.1,162.56,49.125,114.0,32.0,79.75,4.75,174.25,74.375,900.0,162.56,165.1
14.0,20.0,20.0,18.0,40.0,73.0,227.0,1.0,185.42,193.04,27.818885803222656,54.0,18.25,50.296875,2.6875,104.125,89.53125,653.9375,185.42,182.88
39.5,134.625,34.875,33.875,93.25,275.8466796875,696.5,9.0,190.5,193.04,48.0,114.0,34.5,75.75,2.5,147.25,118.75,845.5,185.42,190.5
46.0,74.0,25.0,2.0,0.0,0.0,900.0,2.0,165.1,182.88,12.5,40.5,6.5,12.5,0.0,0.0,0.0,900.0,167.64,182.88
48.0,85.25,51.125,48.375,99.75,94.5,638.5,0.0,172.72,182.88,27.818885803222656,54.0,18.25,50.296875,2.6875,104.125,89.53125,653.9375,172.72,175.26
