weight_class,B_Height_cms,B_Weight_lbs,R_Height_cms,R_Weight_lbs,B_Reach_cms
6.0,5.810362246718757,5.655991810819852,5.810362246718757,5.655991810819852,5.817944146267096
1.0,5.763622475012218,5.484796933490655,5.755615623296219,5.442417710521793,5.771565725958661
5.0,5.795023781753144,5.602118820879701,5.8027224225111045,5.602118820879701,5.817944146267096
6.0,5.810362246718757,5.655991810819852,5.810362246718757,5.655991810819852,5.817944146267096
1.0,5.74754414409507,5.484796933490655,5.763622475012218,5.442417710521793,5.763622475012218
5.0,5.78726541179471,5.602118820879701,5.810362246718757,5.655991810819852,5.795023781753144
2.0,5.763622475012218,5.484796933490655,5.763622475012218,5.484796933490655,5.755615623296219
8.0,5.84035091743822,5.771441123130016,5.832937638879745,5.771441123130016,5.847709643462844
7.0,5.817944146267096,5.707110264748875,5.825468992912801,5.707110264748875,5.832937638879745
8.0,5.84035091743822,5.707110264748875,5.832937638879745,5.707110264748875,5.84035091743822
5.0,5.795023781753144,5.602118820879701,5.810362246718757,5.602118820879701,5.810362246718757
2.0,5.771565725958661,5.484796933490655,5.771565725958661,5.484796933490655,5.771565725958661
7.0,5.825468992912801,5.771441123130016,5.832937638879745,5.771441123130016,5.832937638879745
4.0,5.771565725958661,5.564520407322694,5.779446378577191,5.564520407322694,5.810362246718757
0.0,5.779446378577191,5.545177444479562,5.810362246718757,5.564520407322694,5.78726541179471
3.0,5.779446378577191,5.5254529391317835,5.763622475012218,5.5254529391317835,5.8027224225111045
5.0,5.779446378577191,5.602118820879701,5.779446378577191,5.564520407322694,5.8027224225111045
6.0,5.817944146267096,5.655991810819852,5.825468992912801,5.655991810819852,5.84035091743822
6.0,5.817944146267096,5.655991810819852,5.817944146267096,5.655991810819852,5.847709643462844
9.0,5.84035091743822,5.929589143389895,5.8622666086363004,5.902633333401366,5.8622666086363004
4.0,5.771565725958661,5.5254529391317835,5.779446378577191,5.564520407322694,5.779446378577191
3.0,5.795023781753144,5.5254529391317835,5.78726541179471,5.5254529391317835,5.810362246718757
7.0,5.795023781753144,5.707110264748875,5.832937638879745,5.707110264748875,5.825468992912801
3.0,5.771565725958661,5.564520407322694,5.795023781753144,5.5254529391317835,5.755615623296219
