B_avg_DISTANCE_landed,R_avg_opp_SIG_STR_pct,R_age,B_avg_CTRL_time(seconds),B_avg_opp_SIG_STR_pct,B_avg_HEAD_att,B_avg_opp_LEG_att,B_age,B_avg_DISTANCE_att,R_losses,R_avg_opp_HEAD_landed,R_avg_opp_LEG_att,R_avg_LEG_att,B_avg_GROUND_att,R_avg_GROUND_landed,R_avg_opp_BODY_landed,R_avg_SUB_ATT,R_avg_opp_DISTANCE_att,R_avg_BODY_landed,R_avg_opp_CTRL_time(seconds),Winner
37.0,0.4775,28.0,223.25,0.47,84.25,8.25,30.0,84.0,1.0,19.25,3.75,12.0,11.75,3.5,13.15216064453125,0.0,64.75,8.25,127.25,Blue
17.0,0.3234375,22.0,297.125,0.26,49.0,9.5,23.0,49.875,3.0,37.7607421875,14.67218017578125,11.65625,12.5,0.53125,6.09375,0.0,122.688232421875,9.0,263.46875,Red
12.25,0.4349208831787109,35.0,233.375,0.4475,58.4140625,2.4375,35.0,30.796875,5.0,37.7607421875,14.67218017578125,15.9783935546875,18.875,2.085845947265625,7.848388671875,0.0039138793945312,122.688232421875,13.875,20.29485321044922,Red
10.1953125,0.5284374999999999,27.0,9.453125,0.434296875,49.484375,9.609375,32.0,50.5546875,2.0,10.109375,1.78125,2.65625,0.6484375,14.0,3.71875,0.0,28.296875,5.84375,5.390625,Blue
32.927734375,0.348125,33.0,63.6435546875,0.401796875,102.97265625,1.1474609375,28.0,83.1689453125,2.0,30.59375,14.67218017578125,7.84375,4.791015625,1.25,12.40625,0.0,122.688232421875,13.875,103.71875,Blue
25.875,0.43484375,33.0,59.375,0.29375,65.625,2.875,25.0,70.75,4.0,32.40234375,14.67218017578125,15.9783935546875,2.75,1.78125,13.15216064453125,0.0,116.58203125,13.875,133.13671875,Blue
45.5,0.376875,33.0,157.26841735839844,0.4570559692382813,109.0,10.248016357421877,28.0,107.78575134277344,2.0,22.5625,4.1875,4.75,8.510589599609375,1.125,7.625,0.0,71.0625,7.625,39.3125,Draw
2.0,0.46,27.0,0.0,0.0,4.0,0.0,32.0,3.0,1.0,5.5,0.0,0.0,3.0,0.0,0.0,0.5,1.0,0.0,0.0,Red
25.75,0.4003125,24.0,197.03125,0.59,85.31602191925049,13.0,34.0,93.0,1.0,10.5625,4.4375,9.625,1.75,14.0,3.4375,0.1875,22.46875,8.3125,75.9375,Blue
11.0,0.4915625,31.0,47.1875,0.4,60.1964111328125,14.1796875,34.0,65.0,3.0,13.09375,4.0625,2.40625,2.0,5.46875,4.34375,0.53125,25.75,2.09375,84.375,Red
44.875,0.5455626678466796,35.0,17.0,0.3175,109.0,9.0,27.0,117.5,5.0,15.363044738769531,7.099082946777344,10.146018981933594,2.875,0.1305465698242187,4.9710540771484375,0.0005111694335937,39.17828369140625,3.998504638671875,64.05998992919922,Blue
45.5,0.51,33.0,36.0,0.45,109.0,14.1796875,26.0,117.5,1.0,37.5,7.0,6.5,0.0,2.5,10.0,0.5,61.5,7.0,47.0,Red
2.0,0.58,27.0,2.0,0.59,27.0,6.0,35.0,29.0,1.0,37.7607421875,9.0,12.0,0.0,0.0,13.15216064453125,1.25,52.0,1.0,298.80078125,Blue
20.5,0.435,23.0,117.25,0.2925,76.0,4.25,30.0,46.375,0.0,12.25,2.5,0.5,15.0,2.5,3.650390625,0.5,20.85546875,3.5,216.125,Blue
12.5,0.38,28.0,114.0,0.555,40.0,7.5,29.0,40.5,0.0,30.0,2.0,15.9783935546875,9.5,1.0,13.0,0.0,111.0,13.875,65.0,Red
31.0,0.45875,28.0,205.5,0.5449999999999999,88.0,14.1796875,28.0,97.5,1.0,21.25,10.5,15.9783935546875,9.5,1.875,13.15216064453125,1.25,79.75,12.625,74.375,Red
6.0,0.42,29.0,40.0,0.55,20.0,9.0,30.0,18.0,0.0,19.75,2.5,2.0,5.0,6.0,6.625,0.0,51.0,6.0,132.318359375,Red
16.25,0.52,23.0,93.25,0.5825,34.875,1.25,27.0,33.875,2.0,36.75,4.5,6.25,6.25,5.25,6.75,0.0,75.75,12.25,118.75,Red
0.0,0.4,24.0,0.0,0.59,25.0,2.0,26.0,2.0,1.0,2.0,5.5,1.0,18.875,10.0,6.5,1.25,12.5,13.875,0.0,Red
23.0,0.5253125000000001,26.0,329.8321228027344,0.33875,86.0,5.0,29.0,83.5,0.0,12.626190185546877,7.0,1.5,3.23974609375,0.5,4.9710540771484375,0.125,41.0,8.0,74.9853515625,Red
11.171875,0.435,32.0,329.8321228027344,0.42140625,22.609375,11.234375,30.0,24.859375,0.0,20.5,4.0,15.9783935546875,3.578125,11.5,6.0,0.5,56.5,8.0,157.5,Blue
1.875,0.2475,29.0,141.0625,0.38875,24.0,1.125,32.0,5.0625,1.0,6.125,6.375,9.875,15.3125,4.125,0.625,0.875,35.375,0.375,7.625,Red
14.420166015625,0.371240234375,32.0,65.25,0.4475,30.0,5.0,27.0,36.125,5.0,25.7587890625,7.3203125,14.62353515625,4.6875,13.50341796875,9.14990234375,0.6953125,72.5224609375,4.41943359375,156.99462890625,Red
10.25,0.3512936401367187,30.0,271.25,0.373553466796875,25.734375,8.75,30.0,25.0,5.0,37.7607421875,14.67218017578125,4.764408111572266,17.125,0.7086524963378906,9.128795623779297,0.1256942749023437,122.688232421875,13.875,144.64298629760742,Blue
37.5,0.3760834997892379,27.0,7.5,0.41,90.0,14.1796875,28.0,97.0,0.0,24.75,3.0,2.0,6.0,1.1875,5.25,0.0,60.21875,2.5859375,140.332763671875,Red
19.9375,0.34375,26.0,274.1875,0.4131249999999999,74.875,5.375,33.0,70.875,2.0,26.1875,9.9375,15.1875,9.4375,1.4375,5.3125,0.0,107.5625,13.0,96.1875,Red
9.0,0.485,33.0,221.0,0.54,40.5,1.5,28.0,35.125,1.0,16.0,7.0,3.5,6.75,0.5,4.0,0.5,34.5,3.0,294.5,Blue
17.26171875,0.243984375,31.0,329.8321228027344,0.340078125,30.390625,14.1796875,35.0,36.90625,2.0,4.8984375,14.67218017578125,11.4609375,9.3828125,13.5390625,12.796875,0.78125,78.171875,7.9140625,32.09375,Red
20.171875,0.436484375,34.0,125.765625,0.33578125,58.171875,3.140625,31.0,50.109375,4.0,15.7890625,1.265625,15.9783935546875,18.875,14.0,4.8203125,0.5,42.4375,5.4765625,33.2890625,Red
45.5,0.3290087890625,33.0,321.1875,0.38625,105.0,1.3125,30.0,76.375,4.0,9.270263671875,4.013671875,4.128173828125,18.875,10.701904296875,3.546630859375,0.0234375,36.043212890625,0.461181640625,2.9853515625,Blue
9.0,0.5425,25.0,329.8321228027344,0.48,27.0,1.0,28.0,23.0,0.0,5.75,3.25,0.0,4.0,3.75,0.25,1.25,15.25,2.0,88.75,Blue
13.0,0.51625,29.0,254.0,0.31,81.0,5.0,27.0,46.0,1.0,36.25,3.25,9.25,18.875,0.25,5.0,0.0,80.5,13.875,44.375,Blue
11.5,0.47,25.0,329.8321228027344,0.415,49.484375,10.390625,33.0,56.0,0.0,6.75,3.25,2.0,1.0,1.5,2.5,0.0,21.5,13.875,11.5,Red
20.0,0.29169921875,26.0,8.0,0.27,84.0,7.0,31.0,115.0,3.0,17.0078125,5.29296875,15.9783935546875,0.0,5.138671875,6.294921875,0.525390625,84.01171875,5.68359375,286.0546875,Blue
14.625,0.43359375,33.0,129.125,0.31125,45.375,4.625,29.0,27.4375,3.0,9.40625,5.875,3.484375,18.0625,14.0,7.671875,0.734375,28.796875,8.8125,89.59375,Red
14.4609375,0.3175,28.0,26.5390625,0.59,35.5703125,2.2421875,29.0,37.1640625,0.0,23.25,4.75,1.5,5.0625,4.25,12.0,0.25,116.5,5.0,14.25,Red
