B_avg_DISTANCE_landed,R_avg_opp_SIG_STR_landed,R_avg_opp_HEAD_landed,R_losses,R_age,Winner
20.125,47.0,28.0,1.0,30.0,Red
35.0,49.5,23.5,0.0,26.0,Red
38.09375,45.6231689453125,32.185028076171875,4.0,32.0,Blue
35.0,24.6065673828125,25.375,0.0,27.0,Blue
23.5,49.20005130767822,36.86843204498291,5.0,33.0,Blue
2.5,27.0,21.0,1.0,24.0,Red
6.625,10.25,4.201171875,0.0,26.0,Red
8.0,13.4375,5.4375,0.0,32.0,Red
23.0,54.421875,37.7607421875,2.0,29.0,Blue
1.0,23.0,12.25,0.0,22.0,Red
8.0,26.45751953125,16.64599609375,5.0,29.0,Red
40.75,11.9453125,6.953125,2.0,29.0,Red
15.0,25.0,16.31781005859375,0.0,26.0,Red
45.5,31.006423950195312,19.82787704467773,5.0,31.0,Blue
12.75,57.769317626953125,37.7607421875,1.0,27.0,Blue
42.84375,17.0,11.25,1.0,28.0,Red
4.59375,23.2734375,9.8203125,3.0,31.0,Blue
45.5,57.769317626953125,37.7607421875,2.0,31.0,Blue
6.6875,20.25,13.75,0.0,19.0,Red
31.0,34.0,20.0,0.0,31.0,Red
0.0,49.0,25.75,2.0,35.0,Red
18.078125,50.5,30.4375,4.0,26.0,Red
6.0,16.4609375,9.0234375,3.0,32.0,Blue
25.32421875,40.0,27.5,1.0,32.0,Blue
39.03748321533203,17.270769357681274,8.99940276145935,5.0,35.0,Blue
29.0,55.0,37.7607421875,1.0,26.0,Blue
10.5,2.0,0.0,1.0,31.0,Red
21.125,8.375,4.625,2.0,34.0,Blue
28.0,42.609375,23.0,0.0,26.0,Blue
30.0,57.0,32.4375,0.0,27.0,Red
7.0,42.875,31.40625,0.0,26.0,Red
38.25,41.0,24.53125,3.0,26.0,Blue
6.6796875,30.671875,10.21875,2.0,24.0,Red
0.5,21.0,14.0,0.0,26.0,Red
16.453125,35.00390625,19.78125,4.0,35.0,Blue
45.5,46.8125,29.6875,3.0,30.0,Blue
6.0,38.0,20.75,0.0,26.0,Red
7.875,13.25,11.125,1.0,24.0,Red
8.09033203125,33.75,25.25,2.0,33.0,Draw
23.5894775390625,9.900390625,4.201171875,2.0,32.0,Red
24.625,28.0,17.8828125,0.0,27.0,Red
23.0,8.0,8.0,1.0,35.0,Red
45.5,34.0,34.0,0.0,27.0,Blue
13.1875,40.65625,27.0,0.0,29.0,Red
1.5,15.3125,9.6875,3.0,34.0,Red
17.9375,19.0,7.0,2.0,34.0,Red
20.64306640625,23.765625,15.68359375,1.0,29.0,Red
1.75,14.78814697265625,12.74932861328125,4.0,30.0,Blue
14.8369140625,5.728271484375,2.63653564453125,5.0,28.0,Blue
37.328125,57.769317626953125,37.7607421875,5.0,31.0,Blue
1.8033447265625,57.769317626953125,28.40654754638672,0.0,24.0,Red
34.375,35.0,8.0,0.0,29.0,Blue
9.78125,4.0,2.75,1.0,22.0,Red
15.5625,45.875,25.875,3.0,27.0,Red
7.375,36.0,25.0,0.0,28.0,Red
25.0,28.25,12.75,3.0,27.0,Blue
12.75,16.5859375,12.57421875,5.0,30.0,Red
3.0625,19.5,9.0,1.0,33.0,Red
19.734375,57.769317626953125,37.7607421875,5.0,35.0,Red
9.3125,38.078125,26.515625,4.0,26.0,Blue
42.34375,20.2080078125,6.576416015625,5.0,28.0,Red
18.0,24.8359375,17.625,0.0,25.0,Red
15.625,1.0,0.0,0.0,24.0,Red
19.890625,9.71923828125,7.47576904296875,5.0,35.0,Red
7.1328125,22.3837890625,8.9736328125,3.0,33.0,Red
14.0,30.96875,28.1875,3.0,33.0,Red
45.5,55.75,35.75,2.0,26.0,Red
45.5,14.0,5.5,2.0,25.0,Red
23.0,57.769317626953125,37.7607421875,0.0,25.0,Red
18.0,51.0,34.0,0.0,24.0,Red
36.0,14.30517578125,11.99462890625,3.0,29.0,Red
9.0,57.769317626953125,37.7607421875,3.0,35.0,Blue
43.0,22.0,18.5,0.0,26.0,Red
45.5,28.875,19.34375,2.0,34.0,Red
14.0,45.0,27.5,0.0,30.0,Red
10.08203125,19.0,10.0,0.0,28.0,Blue
42.75,20.0,12.25,1.0,28.0,Blue
34.578125,57.769317626953125,37.7607421875,5.0,35.0,Blue
16.0,35.25,20.0,0.0,22.0,Red
26.04296875,1.0,0.0,0.0,35.0,Red
45.5,32.36306190490723,23.77825355529785,5.0,32.0,Blue
4.0,11.0,7.0,1.0,34.0,Draw
13.875,31.875,26.125,2.0,35.0,Red
29.125,46.390625,34.703125,1.0,26.0,Red
45.5,0.0,0.0,0.0,32.0,Red
5.0,36.25,21.25,2.0,25.0,Red
14.0,17.5,6.25,2.0,35.0,Blue
24.75,8.5625,6.8359375,1.0,29.0,Red
10.78125,35.7734375,23.8671875,2.0,35.0,Blue
43.75,57.769317626953125,37.7607421875,0.0,27.0,Red
17.0,27.40625,16.84375,0.0,29.0,Red
18.0,29.4375,16.3125,2.0,26.0,Blue
29.65625,36.984619140625,23.090576171875,3.0,35.0,Red
1.25,7.875,6.75,2.0,31.0,Red
34.75,10.0,7.5,1.0,28.0,Blue
4.8759765625,18.74859619140625,4.29327392578125,4.0,35.0,Red
9.4375,23.0,10.0,1.0,21.0,Red
7.0,16.0,7.0,0.0,22.0,Red
10.0,49.5,31.75,1.0,34.0,Red
2.6875,26.0,19.0,0.0,31.0,Red
45.5,24.3916015625,16.5146484375,4.0,30.0,Red
7.4609375,24.54153871536255,12.9988055229187,5.0,35.0,Red
37.874180141836405,57.769317626953125,37.7607421875,5.0,35.0,Blue
10.71875,57.769317626953125,37.7607421875,5.0,34.0,Red
14.5,27.21875,13.6807861328125,0.0,30.0,Red
23.0,17.9130859375,5.546142578125,4.0,28.0,Red
6.375,38.0,18.25,2.0,35.0,Blue
13.0,57.769317626953125,37.7607421875,1.0,31.0,Blue
6.0,39.0,29.5,1.0,25.0,Red
1.0,32.203125,24.0,0.0,27.0,Red
10.828125,49.625,33.03515625,0.0,22.0,Red
6.625,18.484375,12.96875,2.0,32.0,Red
25.59375,25.0,15.0,1.0,24.0,Red
15.515625,29.197509765625,19.87060546875,4.0,35.0,Red
38.25,36.71875,30.46875,2.0,25.0,Blue
13.0,27.0,14.0,1.0,25.0,Red
5.78125,57.769317626953125,37.7607421875,4.0,30.0,Blue
9.0,25.5,21.0,1.0,29.0,Blue
45.5,56.93359375,36.33203125,5.0,34.0,Red
24.0,33.34765625,21.671875,2.0,25.0,Red
21.875,33.2080078125,24.06591796875,5.0,34.0,Red
3.0,50.4689245223999,31.52366733551025,5.0,31.0,Red
11.1591796875,23.5,13.25,2.0,29.0,Red
7.50982666015625,57.769317626953125,37.7607421875,3.0,33.0,Red
15.75,18.0,14.0,1.0,23.0,Red
8.638076782226562,25.037109375,15.361572265625,3.0,31.0,Red
17.1875,57.769317626953125,37.7607421875,4.0,29.0,Blue
42.0,7.716033935546875,3.8295669555664062,5.0,29.0,Blue
12.073974609375,15.4501953125,2.1005859375,2.0,32.0,Blue
17.2578125,57.769317626953125,37.7607421875,5.0,29.0,Red
28.47607421875,14.63671875,6.6171875,3.0,35.0,Blue
23.0,41.5,24.5,0.0,27.0,Blue
6.0,26.671875,16.703125,3.0,27.0,Red
1.0,7.34375,1.75,0.0,32.0,Red
16.0,57.769317626953125,37.7607421875,5.0,35.0,Blue
25.634765625,35.04387140274048,24.974346160888672,5.0,32.0,Red
4.96875,57.769317626953125,35.01904296875,5.0,34.0,Red
39.0,31.21875,13.1640625,3.0,28.0,Red
14.0,15.25,10.53125,2.0,34.0,Red
30.23828125,34.54296875,16.91064453125,2.0,27.0,Red
15.25,36.0,30.0,1.0,27.0,Red
18.0,17.5,15.5,0.0,31.0,Blue
21.5,35.775390625,23.96728515625,3.0,29.0,Red
33.0,55.96875,33.46875,4.0,35.0,Red
7.0,15.623046875,14.322265625,5.0,34.0,Blue
10.0,32.5,19.0,1.0,22.0,Blue
16.0,41.25,29.4375,3.0,29.0,Red
7.0,36.3671875,16.6015625,2.0,32.0,Red
26.0,41.5,24.5,1.0,28.0,Red
45.5,57.769317626953125,37.7607421875,4.0,28.0,Blue
17.0,30.301647186279297,14.410118103027344,5.0,35.0,Blue
21.0,27.75,17.09375,0.0,32.0,Red
45.5,57.0,37.7607421875,1.0,30.0,Blue
18.25,32.0703125,16.6953125,5.0,29.0,Red
10.75,19.5625,11.875,2.0,34.0,Red
10.0,15.5,13.5,1.0,32.0,Red
18.0,25.61328125,9.935546875,5.0,30.0,Blue
12.0,23.3125,9.3857421875,4.0,35.0,Blue
7.375,24.79296875,11.1796875,2.0,30.0,Red
14.66015625,26.0,18.75,2.0,29.0,Red
19.5,25.876953125,18.298828125,2.0,25.0,Blue
14.25,38.0,21.0,2.0,32.0,Red
45.5,31.4033203125,31.0,0.0,23.0,Blue
43.25,57.769317626953125,37.7607421875,3.0,28.0,Blue
22.5,34.03125,23.34375,2.0,27.0,Red
23.0,25.07080078125,17.625,0.0,22.0,Red
20.5,1.0,1.0,1.0,31.0,Red
33.0625,53.1328125,34.53125,3.0,30.0,Blue
8.75,34.09002685546875,24.097442626953125,5.0,32.0,Blue
6.0,57.769317626953125,37.7607421875,1.0,29.0,Blue
35.741554260253906,46.1328125,32.3125,4.0,35.0,Red
44.5,17.15625,10.90625,2.0,30.0,Red
45.5,9.18359375,6.72021484375,4.0,34.0,Blue
29.625,39.625,22.125,1.0,32.0,Red
13.125,1.0,0.0,0.0,24.0,Red
14.0,30.375,13.15625,0.0,31.0,Blue
28.5,18.07421875,10.86328125,2.0,34.0,Blue
27.8125,22.0,22.0,1.0,25.0,Red
9.375,9.0,5.875,1.0,35.0,Red
26.5,27.0,17.5,1.0,33.0,Blue
14.75,27.3046875,14.076171875,0.0,35.0,Blue
40.248046875,49.9141845703125,23.67608642578125,3.0,25.0,Red
14.75,28.6875,14.5625,3.0,31.0,Red
45.5,19.6484375,16.390625,3.0,27.0,Red
1.375,14.4765625,9.328125,3.0,30.0,Red
45.5,6.4375,6.0,0.0,28.0,Blue
17.0,42.5,32.5,1.0,27.0,Blue
0.0,32.0,24.0,0.0,32.0,Red
16.75,13.125,11.0,0.0,25.0,Red
17.0,15.25,6.375,1.0,32.0,Red
12.0,9.0,3.0,1.0,31.0,Red
25.34375,57.769317626953125,37.7607421875,4.0,35.0,Red
28.96875,57.769317626953125,37.7607421875,3.0,29.0,Red
45.5,38.625,27.8182373046875,0.0,27.0,Red
19.125,27.0,23.5625,0.0,25.0,Red
3.0,22.8046875,8.0,0.0,22.0,Red
14.25,39.30406188964844,25.200347900390625,5.0,30.0,Red
45.5,57.769317626953125,37.7607421875,1.0,34.0,Blue
21.5,20.5,12.75,1.0,32.0,Red
7.0,49.5,37.7607421875,0.0,31.0,Red
22.8125,28.87055969238281,16.92022705078125,5.0,29.0,Red
45.375,33.826171875,11.09228515625,4.0,27.0,Red
28.8125,17.6875,9.75,1.0,26.0,Red
45.5,57.69232940673828,30.9925537109375,2.0,31.0,Red
6.0,41.3828125,25.8203125,4.0,32.0,Blue
26.75,31.20703125,21.521484375,3.0,32.0,Red
0.0,34.694183349609375,24.991851806640625,5.0,34.0,Red
1.0,34.5,21.875,1.0,27.0,Red
45.5,57.769317626953125,37.7607421875,3.0,34.0,Blue
44.4375,56.4375,25.40625,2.0,26.0,Blue
6.0,52.0,36.0,0.0,29.0,Red
23.626953125,20.10546875,15.3203125,5.0,34.0,Blue
30.0390625,34.25390625,23.34375,0.0,25.0,Blue
45.5,35.75,21.2265625,2.0,28.0,Red
24.81280517578125,32.0,15.90625,1.0,30.0,Red
8.65625,18.5,13.375,1.0,27.0,Red
24.625,41.9375,24.4375,1.0,30.0,Draw
22.28125,57.769317626953125,37.7607421875,1.0,27.0,Red
31.0,15.25,3.5,0.0,30.0,Blue
45.5,31.5,17.5,0.0,25.0,Red
10.0,9.0712890625,7.5537109375,2.0,31.0,Red
9.41845703125,57.59246826171875,32.9891357421875,5.0,27.0,Red
2.9765625,11.67578125,6.1015625,3.0,35.0,Red
10.171875,23.4375,12.399169921875,0.0,25.0,Red
8.79296875,36.0,20.0,1.0,26.0,Blue
28.455078125,19.173828125,13.322265625,3.0,24.0,Blue
21.5,22.0,13.0,1.0,22.0,Red
45.5,15.82421875,9.21875,1.0,31.0,Red
33.0,42.5,13.5,1.0,28.0,Red
16.0,20.25,15.75,0.0,24.0,Red
39.5,9.625,4.0,0.0,30.0,Blue
6.9326171875,14.60260009765625,9.33428955078125,3.0,34.0,Blue
23.5,44.5625,18.75,0.0,27.0,Red
19.5,25.5,15.5,1.0,24.0,Red
12.0,24.5,18.0,2.0,29.0,Blue
7.0,11.0,6.0,1.0,29.0,Red
33.5,41.875,31.375,3.0,34.0,Blue
20.78466852381825,11.5,5.0,0.0,26.0,Blue
23.523193359375,29.052230834960938,12.197601318359377,5.0,30.0,Red
10.75,7.0,5.0,0.0,26.0,Red
34.69384765625,57.769317626953125,37.7607421875,2.0,29.0,Blue
43.089136868715286,57.769317626953125,36.0439453125,5.0,30.0,Red
19.5,26.0625,17.015625,2.0,26.0,Blue
12.1015625,44.248311042785645,33.53190803527832,5.0,35.0,Blue
4.078125,24.1875,23.5,0.0,24.0,Red
9.0,20.5,9.5,1.0,26.0,Red
24.0,57.769317626953125,32.0,0.0,35.0,Blue
8.875,17.0,10.0,0.0,23.0,Red
6.25,12.6875,6.1875,3.0,25.0,Red
31.01953125,24.5,14.5,2.0,35.0,Blue
17.120849609375,49.625,27.8125,3.0,25.0,Red
45.5,57.769317626953125,37.7607421875,5.0,30.0,Blue
18.375,30.0,21.0,0.0,26.0,Red
16.5,38.0625,18.375,1.0,32.0,Red
10.75,34.64306640625,27.14892578125,5.0,33.0,Red
33.002685546875,0.0,0.0,1.0,33.0,Red
11.5,7.0,7.0,1.0,22.0,Red
15.0,57.769317626953125,37.7607421875,2.0,25.0,Blue
22.0,28.25,20.5,0.0,35.0,Blue
45.5,17.0,9.0,1.0,26.0,Red
8.25,27.5,16.75,2.0,27.0,Red
45.5,57.769317626953125,37.7607421875,1.0,33.0,Blue
10.0,50.125,36.3125,2.0,35.0,Blue
9.46875,57.769317626953125,37.7607421875,5.0,29.0,Red
26.375,4.0,4.0,0.0,32.0,Blue
38.625,17.5,13.46875,0.0,24.0,Red
20.0,27.0,13.0,1.0,32.0,Red
34.83203125,29.0,15.0,0.0,27.0,Red
12.0,36.71875,26.12763214111328,0.0,27.0,Blue
27.8125,29.23423385620117,19.240612030029297,5.0,30.0,Red
0.943359375,39.67535400390625,34.99114990234375,4.0,31.0,Red
15.44140625,15.173828125,8.228515625,3.0,35.0,Red
16.656320571899414,50.721923828125,34.047607421875,5.0,29.0,Blue
26.0,22.0,12.25,0.0,30.0,Draw
45.5,9.625,3.0,1.0,34.0,Red
11.84375,1.0,0.0,0.0,33.0,Red
9.0,29.0,15.0,0.0,28.0,Blue
21.25,21.25,6.25,1.0,31.0,Blue
44.4375,18.50390625,9.0625,0.0,27.0,Red
45.5,35.0,15.0,0.0,28.0,Red
20.9521484375,12.236328125,6.09375,1.0,24.0,Red
9.5,12.8125,7.5,1.0,34.0,Red
26.521484375,39.453125,23.671875,4.0,28.0,Red
1.0,56.0,33.0,1.0,26.0,Red
13.684175729751589,28.21875,15.78125,0.0,23.0,Red
4.1875,12.5625,8.609375,2.0,25.0,Blue
21.46875,24.17285691789584,20.704220501240343,5.0,35.0,Blue
13.0,41.94140625,17.8828125,0.0,28.0,Red
37.0,20.5,8.5,0.0,31.0,Red
9.15625,11.39453125,7.84375,1.0,27.0,Red
45.5,8.890925884246826,5.9069366455078125,5.0,29.0,Red
31.53125,53.1875,37.7607421875,2.0,32.0,Blue
4.0,6.5,6.5,1.0,34.0,Blue
13.0,22.375,14.125,1.0,23.0,Red
24.25,26.25,20.75,0.0,35.0,Blue
1.25,7.125,6.0625,1.0,25.0,Red
16.875,43.9375,24.25,3.0,29.0,Red
40.0,12.816808700561523,8.723608016967773,5.0,35.0,Blue
17.483108520507812,41.3125,28.8125,1.0,35.0,Red
3.0,34.004425048828125,27.38671875,0.0,24.0,Red
16.2119140625,57.769317626953125,37.7607421875,4.0,32.0,Red
12.75,6.5,4.75,2.0,28.0,Red
3.5302734375,21.5,21.0,1.0,28.0,Red
21.1875,18.0,11.0,0.0,33.0,Red
44.5,42.5205078125,25.197265625,4.0,32.0,Red
37.1953125,24.59375,14.734375,2.0,35.0,Blue
6.0,22.0,9.5,0.0,25.0,Red
13.625,46.8125,25.875,2.0,35.0,Draw
33.5,28.5625,17.125,2.0,29.0,Blue
1.88671875,1.0,1.0,0.0,26.0,Red
5.0,19.25,15.75,1.0,35.0,Red
17.625,53.125,34.375,0.0,26.0,Red
5.84375,12.375,11.0,0.0,24.0,Red
33.4375,26.71875,19.453125,3.0,31.0,Red
45.5,31.5,20.0,0.0,32.0,Red
10.5,36.46846771240234,29.5,0.0,25.0,Red
45.5,25.0,27.36328125,0.0,26.0,Blue
11.0,38.0,28.0,0.0,25.0,Blue
13.0,4.0,2.0,1.0,29.0,Red
26.5,35.0625,7.53125,2.0,33.0,Red
7.875,17.0546875,13.3984375,3.0,28.0,Red
37.5,38.46875,22.125,3.0,29.0,Blue
10.25,39.5,24.25,1.0,35.0,Red
13.875,32.0625,16.4375,0.0,27.0,Red
28.875,21.0,5.1875,0.0,26.0,Blue
16.3984375,25.75,20.0,1.0,32.0,Blue
2.734375,1.0,1.0,0.0,27.0,Red
20.734375,47.75,37.7607421875,4.0,29.0,Blue
20.328125,40.184356689453125,29.824722290039062,5.0,34.0,Red
9.5,2.0,1.0,0.0,23.0,Red
11.375,10.0,3.0,0.0,33.0,Red
8.1875,10.125,7.671875,1.0,28.0,Red
9.84375,16.296875,8.453125,2.0,33.0,Red
16.0,50.0,31.0,0.0,26.0,Red
45.5,36.46846771240234,26.4812240600586,5.0,30.0,Blue
32.546875,21.125,8.828125,2.0,29.0,Red
4.7763671875,21.16799659654498,17.63188073039055,5.0,35.0,Blue
16.0,17.7890625,13.6875,1.0,27.0,Red
20.0,52.0,33.5,0.0,26.0,Red
17.0,27.5,13.4296875,0.0,30.0,Red
33.5,35.370296478271484,22.638477325439453,5.0,35.0,Red
11.875832885503767,42.53182506561279,32.47669339179993,5.0,35.0,Red
0.0,14.5,4.828125,0.0,30.0,Red
31.0,2.0,2.0,1.0,27.0,Red
23.0,32.0,16.0,0.0,28.0,Red
9.0,47.75,23.34375,3.0,32.0,Red
