R_avg_opp_DISTANCE_landed,R_age,R_avg_opp_SIG_STR_pct,B_avg_DISTANCE_landed,R_avg_opp_CLINCH_att,B_avg_opp_LEG_landed,B_avg_BODY_landed,B_avg_opp_BODY_landed,B_avg_GROUND_att,R_avg_opp_HEAD_landed,B_avg_opp_CTRL_time(seconds),R_avg_GROUND_landed,R_avg_opp_BODY_att,R_avg_CLINCH_att,R_avg_HEAD_landed,B_avg_CLINCH_att,B_age,R_avg_TD_landed,B_avg_BODY_att,R_avg_TOTAL_STR_landed,Winner
10.0,30.0,0.32,4.5,11.0,6.0,1.5,0.5,3.5,8.0,316.5,11.5,14.0,16.0,25.0,0.5,26.0,0.5,3.0,65.5,Blue
5.08544921875,31.0,0.772208251953125,22.24609375,1.89990234375,7.59375,8.6328125,7.7109375,1.46484375,9.5455322265625,43.140625,14.50537109375,2.320556640625,6.8382568359375,20.4654541015625,8.9609375,27.0,0.6226806640625,11.17578125,38.5240478515625,Blue
58.52587890625,31.0,0.322890625,34.0,5.48046875,7.0,9.0,17.0,8.0,35.41064453125,0.0,2.07861328125,17.998046875,7.40478515625,32.44580078125,6.0,24.0,0.0,18.0,99.73046875,Blue
21.0,25.0,0.4474999999999999,21.25,9.25,3.0,10.140625,4.5,11.828125,24.5,463.0,20.5,9.5,3.5,24.0,10.5,34.0,3.75,16.0,87.5,Red
2.9375,35.0,0.68625,9.3125,0.3125,4.5,4.0625,3.0,14.25,2.25,152.5,0.5625,1.5,1.6875,3.375,5.875,29.0,1.0,7.0,19.625,Red
11.0625,38.0,0.375,14.0,2.5,4.5,6.0,6.0,11.0,10.1875,291.5,5.0,6.4375,0.375,9.875,2.0,30.0,0.0,6.0,22.1875,Blue
16.5,28.0,0.3125,10.25,7.5,6.75,0.75,3.0,2.0,8.625,1.5,2.625,11.25,7.25,14.0,1.25,32.0,4.25,1.0,31.375,Blue
24.0,28.0,0.4775,37.0,17.75,7.75,14.5,11.25,11.75,19.25,200.75,3.5,17.75,20.5,32.5,13.25,30.0,1.5,16.0,70.0,Blue
47.0625,22.0,0.3234375,30.8125,5.09375,1.5,5.0,5.0,5.0,39.15625,161.0,0.53125,16.53125,3.84375,33.5625,3.5,23.0,0.0,9.0,56.875,Red
76.40999603271484,37.0,0.4349208831787109,12.25,11.471588134765623,2.0625,5.6484375,4.65625,38.0859375,63.118873596191406,235.5625,2.085845947265625,12.385215759277344,21.496109008789062,64.57354736328125,1.96875,35.0,0.0510482788085937,8.2890625,117.540283203125,Red
12.125,27.0,0.5284374999999999,10.1953125,3.21875,8.2109375,2.5859375,7.7734375,0.6484375,10.109375,230.890625,24.59375,4.1875,10.53125,35.390625,3.9609375,32.0,5.359375,4.8515625,79.0625,Blue
56.15625,33.0,0.348125,32.927734375,9.0,0.4521484375,9.98828125,11.3515625,4.791015625,30.59375,300.8759765625,1.25,29.125,26.34375,60.9375,33.306640625,28.0,0.5,11.2109375,91.625,Blue
42.46875,33.0,0.43484375,25.875,18.94140625,1.75,7.125,5.875,2.75,32.40234375,132.125,1.78125,21.97265625,18.08984375,29.52734375,12.25,25.0,0.0625,10.5,74.53125,Blue
27.0625,33.0,0.376875,47.58143615722656,6.5625,8.495620727539062,5.665939331054688,11.102645874023438,8.510589599609375,22.5625,46.30836486816406,1.125,11.3125,9.6875,15.25,14.287399291992188,28.0,1.1875,8.134765625,34.1875,Draw
0.0,27.0,0.46,2.0,0.0,0.0,2.0,0.0,3.0,5.5,0.0,0.0,0.0,0.0,0.0,3.0,32.0,0.0,2.0,0.0,Red
6.53125,24.0,0.4003125,41.04638671875,8.21875,5.4453125,5.25,3.375,1.0,10.5625,241.5,22.53125,4.46875,18.8125,25.96875,4.625,34.0,3.40625,7.25,93.03125,Blue
9.40625,31.0,0.4915625,8.125,6.875,4.59375,0.0,6.25,15.5,13.09375,117.53125,5.46875,6.34375,1.28125,10.4375,4.0,34.0,0.625,0.0,33.8125,Red
16.962913513183594,37.0,0.5455626678466796,44.875,9.809768676757812,5.125,5.75,14.0,2.875,15.363044738769531,48.625,0.1305465698242187,7.245780944824219,3.4594268798828125,5.666030883789063,6.25,27.0,0.4328231811523437,9.25,17.795257568359375,Blue
25.0,33.0,0.51,74.0,37.5,17.0,7.0,41.0,0.0,37.5,29.0,2.5,13.0,7.5,24.5,22.0,26.0,1.0,9.0,42.0,Red
16.0,27.0,0.58,2.0,53.0,2.0,1.0,22.0,0.0,50.0,640.0,0.0,20.0,10.0,3.0,3.0,37.0,0.0,5.0,27.0,Blue
15.0,23.0,0.65,20.875,3.0,3.5,5.0,5.375,1.25,17.0234375,155.15625,4.0,8.5,2.0,30.5,12.0,30.0,0.283203125,7.0,51.25,Blue
41.0,28.0,0.38,12.5,5.0,4.5,3.5,3.5,9.5,30.0,163.0,1.0,18.0,12.0,30.0,2.0,29.0,0.0,6.0,72.0,Red
32.0,28.0,0.45875,31.0,17.5,23.0,21.5,26.0,9.5,21.25,84.0,1.875,24.375,15.375,19.25,31.0,28.0,0.875,28.0,52.125,Red
26.25390625,29.0,0.4273095703125,6.0,1.8125,8.0,2.0,1.0,5.0,23.96875,73.0,2.234375,9.0,7.5,15.75,3.0,30.0,4.0,5.0,42.625,Red
36.75,23.0,0.52,16.25,11.75,1.25,11.25,5.375,6.25,36.75,353.75,5.25,8.75,21.25,32.75,13.875,27.0,3.0,13.375,54.25,Red
4.5,24.0,0.4,0.0,16.5,2.0,5.0,11.0,25.0,2.0,0.0,10.0,10.0,26.0,13.5,7.0,25.0,1.5,6.0,122.5,Red
23.125,26.0,0.38,25.0,6.0,5.3125,1.875,1.0,1.0,20.5,189.75,2.5,0.0,1.0,34.5,3.0,29.0,2.0,2.6806640625,49.125,Red
20.0,32.0,0.435,11.171875,11.0,7.890625,6.953125,11.21875,3.578125,20.5,174.203125,11.5,7.5,6.0,22.0,8.1875,30.0,2.5,8.71875,90.5,Blue
11.125,29.0,0.2475,1.875,1.75,0.625,4.5,2.6875,15.3125,6.125,226.3125,4.125,0.75,4.625,11.25,9.9375,32.0,0.5,4.875,32.0,Red
21.4775390625,32.0,0.371240234375,12.25,20.68115234375,5.0546875,3.0,14.0,4.5625,25.7587890625,75.5,13.50341796875,14.5732421875,11.78076171875,18.20703125,3.1005859375,27.0,2.24658203125,3.375,62.91015625,Red
56.13510894775391,30.0,0.3512936401367187,27.4375,9.725650787353516,9.0,10.2578125,5.0,5.0,43.094669342041016,59.601806640625,0.7086524963378906,16.380172729492188,8.485969543457031,43.96086120605469,7.75,30.0,0.1176910400390625,20.0,68.4529800415039,Blue
13.375,27.0,0.3779296875,37.5,14.625,12.0,6.0,5.0,6.0,15.0,32.0,6.84375,8.25,4.5,23.828125,1.5,28.0,3.25,8.5,55.171875,Red
30.3125,26.0,0.34375,19.9375,3.0,5.3125,7.625,5.0,9.4375,26.1875,73.375,1.4375,10.875,7.8125,28.3125,18.0,33.0,0.3125,9.125,58.0625,Red
16.5,33.0,0.485,22.25,3.0,6.0,7.625,3.2654266357421875,3.0,16.0,517.0,0.5,7.0,4.0,11.0,21.0,28.0,0.0,9.0,25.5,Blue
