B_Height_cms,B_Weight_lbs,B_avg_opp_CTRL_time(seconds),gender,B_avg_CLINCH_att,B_avg_opp_GROUND_landed,R_Reach_cms,B_avg_REV,B_avg_SIG_STR_pct,R_avg_SIG_STR_pct,weight_class,B_avg_opp_DISTANCE_landed,R_avg_opp_GROUND_att,B_avg_LEG_landed,B_age,B_win_by_Submission,B_avg_HEAD_landed,R_avg_opp_TD_att,B_avg_LEG_att,B_avg_GROUND_att,B_Reach_cms
182.88,185.0,324.5,1,17.0,12.314453125,180.34,0.625,0.605,0.320625,7,15.0,3.5625,1.5,23.0,0.0,24.6015625,1.75,1.5,18.875,190.5
170.18,135.0,291.5,1,2.0,12.314453125,180.34,0.625,0.48,0.389375,3,17.0,6.0,2.5,30.0,0.0,13.5,2.625,3.0,11.0,175.26
177.8,155.0,1.5,1,1.25,0.0,185.42,0.0,0.475,0.30125,5,12.5,3.0,1.0,32.0,1.0,10.0,2.0,1.0,2.0,182.88
160.02,125.0,200.75,1,13.25,2.5,175.26,0.0,0.5125,0.4225,3,26.5,0.25,6.75,30.0,0.0,32.5,0.75,8.75,11.75,162.56
193.04,145.0,86.375,1,3.75,0.8125,175.26,0.625,0.44625,0.3087499999999999,4,28.1328125,15.6875,4.0,23.0,0.0,9.0,6.125,7.0,12.5,195.58
170.18,145.0,235.5625,1,1.96875,3.65625,177.8,0.625,0.605,0.4808171081542969,4,11.71875,2.6420822143554688,4.0859375,35.0,2.0,33.3671875,2.0036697387695312,4.1484375,18.875,175.26
193.04,225.0,230.890625,1,3.9609375,7.0,195.58,0.0,0.2957031249999999,0.59109375,9,18.8125,1.3125,0.8203125,32.0,1.0,9.2265625,0.109375,0.828125,0.6484375,195.58
180.34,170.0,300.8759765625,1,17.0,2.265625,177.8,0.12890625,0.4716503906249999,0.37125,6,16.94921875,4.8125,5.1611328125,28.0,2.0,40.46875,5.6875,7.0830078125,4.791015625,182.88
165.1,125.0,132.125,0,12.25,3.375,162.56,0.25,0.5825,0.448125,1,17.5,3.78125,8.125,25.0,0.0,21.875,2.90625,9.625,2.75,167.64
175.26,155.0,46.30836486816406,1,14.287399291992188,2.169158935546875,175.26,0.5002593994140625,0.48391845703125,0.3562499999999999,5,34.69526672363281,6.6875,5.608306884765625,28.0,2.0,40.46875,0.4375,9.945175170898438,8.510589599609375,182.88
175.26,185.0,0.0,1,3.0,0.0,190.5,0.0,0.605,0.0,10,0.0,10.0,2.0,32.0,0.0,4.0,0.5,3.0,3.0,180.34
182.88,170.0,28.5,1,16.296875,9.0,193.04,0.0,0.27,0.531875,6,35.0,10.03125,2.0,34.0,0.0,27.0,2.3125,2.0,1.75,193.04
185.42,170.0,69.5,1,5.0,1.3232421875,182.88,0.0,0.19,0.384375,6,27.6875,6.84375,2.515625,34.0,0.0,5.5,1.03125,3.171875,2.0,193.04
180.34,170.0,48.625,1,6.25,1.75,182.88,0.0,0.3512499999999999,0.615,6,29.375,3.22845458984375,5.125,27.0,0.0,38.625,1.783416748046875,6.375,2.875,182.88
160.02,125.0,29.0,0,17.0,0.0,165.1,0.0,0.45,0.615,1,42.1781005859375,1.0,0.0,26.0,0.0,40.46875,0.0,0.0,0.0,165.1
180.34,170.0,324.5,1,3.0,12.314453125,182.88,0.0,0.12,0.24,6,9.0,16.536739349365234,0.0,35.0,0.0,3.0,6.375,0.0,0.0,185.42
172.72,145.0,271.5503845214844,1,11.0,4.0,175.26,0.625,0.605,0.3,4,14.858123779296877,6.5,5.0,30.0,0.0,21.375,3.4140625,5.0,15.0,172.72
172.72,155.0,163.0,1,2.0,1.0,180.34,0.5,0.4599999999999999,0.4,5,12.0,0.0,5.5,29.0,0.0,10.5,6.375,6.0,9.5,175.26
165.1,125.0,84.0,1,17.0,0.0,165.1,0.0,0.425,0.28125,2,42.1781005859375,5.375,11.5,28.0,0.0,23.5,5.25,14.0,9.5,162.56
185.42,185.0,73.0,1,3.0,1.0,182.88,0.0,0.42,0.615,7,9.0,14.0,1.0,30.0,0.0,8.0,1.375,1.0,5.0,193.04
190.5,205.0,324.5,1,13.875,10.0,190.5,0.25,0.565,0.2825,8,24.125,2.5,4.125,27.0,1.0,15.25,1.75,5.75,6.25,193.04
165.1,170.0,0.0,1,7.0,2.0,170.18000000000004,0.625,0.38,0.535,5,3.0,0.0,1.0,26.0,0.0,7.0,5.5,3.0,18.875,190.5
172.72,155.0,35.0,1,2.375,4.0,175.26,0.0,0.3834375,0.329140625,5,4.0,8.5,4.875,29.0,0.0,32.75,1.0,5.25,3.23974609375,180.34
182.88,185.0,174.203125,1,8.1875,4.265625,187.96,0.5,0.59765625,0.4549999999999999,7,10.421875,1.5,4.515625,30.0,0.0,9.375,4.5,5.296875,3.578125,187.96
190.5,185.0,226.3125,1,9.9375,5.75,193.04,0.0,0.56625,0.505,8,1.1875,1.625,1.4375,32.0,1.0,12.9375,2.375,1.4375,15.3125,190.5
180.34,145.0,277.0,1,0.8125,3.125,190.5,0.0009765625,0.45234375,0.4475732421875,5,15.25,8.77685546875,2.5,27.0,0.0,12.875,2.78466796875,3.3125,4.6875,180.34
175.26,145.0,56.0,1,17.0,0.25,185.42,0.0,0.605,0.473575439453125,4,20.451171875,9.234073638916016,11.0,30.0,0.0,8.0,6.141868591308594,12.1328125,17.125,177.8
190.5,170.0,32.0,1,1.5,0.0,177.8,0.0,0.4,0.41765625,6,34.0,8.0,5.5,28.0,0.0,32.5,2.5,6.0,6.0,195.58
175.26,155.0,73.375,1,17.0,0.5,185.42,0.0625,0.46375,0.3874999999999999,5,22.6875,9.3125,11.5,33.0,0.0,21.375,4.6875,14.0,9.4375,180.34
162.56,125.0,24.0,1,6.5,0.0,172.72,0.0,0.3625,0.37,2,17.125,13.0,5.0,28.0,0.0,11.78632926940918,1.5,6.0,6.75,165.1
167.64,125.0,142.578125,0,4.19140625,9.91796875,167.64,0.0,0.5547656249999999,0.615,2,17.76953125,0.4765625,8.2734375,35.0,0.0,14.51171875,0.734375,10.2421875,9.3828125,167.64
185.42,205.0,107.453125,1,7.265625,2.9375,185.42,0.0,0.4971875,0.53203125,7,8.453125,12.3671875,10.09375,31.0,1.0,22.53125,0.9375,12.0,18.875,187.96
167.64,145.0,46.125,1,17.0,1.875,167.64,0.0625,0.605,0.54366455078125,4,38.4375,1.87646484375,11.5,30.0,0.0,40.46875,0.32958984375,13.0625,18.875,180.34
170.18,140.0,324.5,1,17.0,2.0,180.34,0.625,0.605,0.605,0,2.0,2.75,4.0,28.0,0.0,9.0,0.25,5.0,4.0,172.72
170.18,135.0,90.0,1,14.0,3.0,180.34,0.625,0.5,0.31875,3,12.0,4.75,2.0,27.0,1.0,38.0,3.375,2.0,18.875,177.8
187.96,225.0,324.5,1,1.078125,12.314453125,195.58,0.28125,0.605,0.5425,9,10.0,0.0,2.0,33.0,0.0,7.0,0.5,3.0,1.0,195.58
170.18,155.0,105.0,1,1.0,6.0,172.72,0.0,0.17,0.38404296875,5,42.0,0.751953125,0.0,31.0,0.0,11.0,3.966796875,4.0,0.0,177.8
182.88,170.0,249.25,1,11.625,1.6875,187.96,0.0,0.605,0.5840624999999999,6,9.5,6.140625,1.3125,29.0,1.0,25.9375,0.609375,2.375,18.0625,190.5
182.88,170.0,80.5078125,1,6.015625,3.9921875,190.5,0.1875,0.4246875,0.44,6,19.0390625,0.0,4.7265625,29.0,2.0,13.8046875,4.0,5.953125,5.0625,193.04
187.96,183.0,12.0,1,2.0,0.0,193.04,0.0,0.52,0.5525,8,0.0,0.0625,0.0,35.0,1.0,10.0,6.375,0.0,18.0,195.58
190.5,225.0,1.5,1,4.5,0.0,195.58,0.0,0.54,0.47,9,7.0,6.25,0.5,27.0,0.0,23.5,1.5,0.5,2.0,195.58
187.96,170.0,113.5,1,5.0,0.0,185.42,0.5,0.31984375,0.210625,6,13.125,7.3125,2.828125,25.0,0.0,17.15625,1.0,3.125,9.5,187.96
180.34,205.0,265.5,1,15.0625,6.7650146484375,195.58,0.625,0.5,0.3746875,8,22.453125,0.5,0.0,29.0,0.0,19.72487697005272,1.078125,0.0,15.013671875,180.34
182.88,200.0,48.0,1,0.0,0.0,193.04,0.0,0.385,0.41,10,24.5,6.359375,5.0,28.0,0.0,7.0,1.0,11.0,0.0,190.5
167.64,135.0,217.0,1,6.0,7.0,167.64,0.625,0.605,0.45,4,1.0,0.0,11.5,26.0,0.0,18.0,1.0,13.0,18.875,170.18
175.26,135.0,307.6875,0,17.0,0.875,170.18,0.0,0.51,0.4719140625,3,33.25,8.01171875,10.5,34.0,0.0,20.0625,4.16796875,13.0625,0.5,180.34
182.88,185.0,150.0,1,0.0,12.314453125,187.96,0.0,0.11,0.435,7,3.0,4.0,1.0,30.0,0.0,0.0,5.5,2.0,0.0,187.96
175.26,185.0,84.0,1,1.0,8.5,195.58,0.0,0.605,0.485,7,23.5,0.0,0.0,31.0,1.0,15.5,1.5,0.0,0.5,185.42
167.64,145.0,16.5,1,16.0,1.0,172.72,0.0,0.485,0.298828125,3,42.0,2.8671875,10.0,28.0,0.0,40.46875,2.71875,14.0,18.875,162.56
190.5,225.0,0.0,1,0.0,0.0,193.04,0.0,0.605,0.25,10,1.0,2.5,0.0,30.0,1.0,5.5,0.5,0.5,6.0,195.58
182.88,155.0,188.0,1,1.0,3.0,185.42,0.0,0.55,0.36125,5,9.0,11.0,2.0,28.0,0.0,3.0,5.75,3.0,1.0,185.42
193.04,205.0,1.0,1,14.0,0.0,195.58,0.0,0.59,0.3028125,8,2.0,6.28125,0.0,35.0,1.0,12.0,3.4375,0.0,18.875,193.04
182.88,205.0,131.4482421875,1,4.25,4.0,195.58,0.0,0.37265625,0.615,8,23.0,5.375,6.0,31.0,0.0,16.0,4.0,11.920787811279297,1.125,185.42
182.88,185.0,55.5,1,6.46875,4.25,187.96,0.0,0.462666015625,0.41,7,22.71875,4.0,0.5,26.0,0.0,40.46875,1.0,0.77734375,6.031687736511231,185.42
180.34,170.0,116.953125,1,2.0,7.265625,187.96,0.046875,0.5390625,0.2390332031249999,6,3.703125,12.00732421875,2.296875,25.0,2.0,4.3125,1.96630859375,3.328125,3.21875,190.5
172.72,145.0,68.31263732910156,1,10.869479894638062,6.291593551635742,177.8,0.03125,0.4719853711128234,0.433125,4,27.447201251983643,1.3125,6.723623514175415,35.0,2.0,26.07412600517273,4.375,7.552644491195679,7.668692588806152,172.72
190.5,205.0,52.375,1,6.78125,0.75,193.04,0.5625,0.26,0.59,8,42.0,7.0,2.390625,35.0,0.0,20.75,1.0,4.0,1.0,193.04
172.72,155.0,76.1875,1,17.0,1.625,180.34,0.0625,0.3834375,0.5325,5,17.6875,9.25,5.6875,28.0,0.0,21.34375,3.75,7.53125,1.34375,182.88
180.34,170.0,324.5,1,1.0,7.0,180.34,0.28125,0.33,0.3699609375,6,6.5,3.77734375,6.0,26.0,0.0,28.96875,6.375,6.59375,4.277587890625,182.88
170.18,135.0,50.6875,1,0.75,1.8125,162.56,0.125,0.54875,0.615,3,34.875,1.0,2.3125,31.0,0.0,18.0625,1.0,2.375,8.0,175.26
185.42,210.0,0.0,1,0.4375,0.375,195.58,0.0625,0.471875,0.615,9,4.125,16.536739349365234,9.0625,35.0,2.0,4.0,3.625,14.0,3.375,195.58
177.8,155.0,177.96875,1,16.6484375,4.8203125,177.8,0.15625,0.434296875,0.4540625,5,24.75,16.536739349365234,7.984375,26.0,1.0,30.5625,3.15625,12.046875,18.875,172.72
185.42,205.0,2.75,1,8.5,0.25,190.5,0.0,0.5525,0.54,8,12.25,2.25,1.25,30.0,0.0,24.25,2.0,1.25,13.75,193.04
182.88,185.0,103.0,1,1.75,1.0,185.42,0.625,0.565,0.51861083984375,6,1.5,7.602294921875,1.0,23.0,0.0,14.5,0.36328125,1.0,18.875,177.8
180.34,155.0,56.3935546875,1,5.0,1.25,185.42,0.0,0.538125,0.5028125,5,17.5,3.75,6.5,33.0,0.0,13.52734375,1.4375,10.75,8.0,185.42
182.88,170.0,271.0,1,2.0,6.0,187.96,0.625,0.4,0.444755859375,6,19.0,7.958984375,11.5,23.0,0.0,23.0,3.373046875,14.0,6.0,190.5
172.72,145.0,8.5,1,7.4375,0.0,175.26,0.5625,0.4273056316375733,0.4325,4,17.59375,7.25,5.75,32.0,0.0,13.296875,5.5,6.0,2.0,180.34
177.8,170.0,45.0,1,1.0,5.0,185.42,0.0,0.57,0.4779687499999999,6,8.75,8.40625,1.0,30.0,0.0,27.0,1.8125,1.0,13.9375,187.96
180.34,170.0,202.75,1,1.4609375,6.815822601318359,180.34,0.03125,0.371875,0.31796875,6,16.5,1.1875,2.4391918182373047,26.0,0.0,25.75,1.0,4.5146484375,2.0,172.72
167.64,125.0,82.5,0,4.75,0.0,170.18,0.0,0.4125,0.36625,2,29.25,8.625,11.5,33.0,1.0,19.0,2.78125,14.0,6.5,175.26
175.26,145.0,120.75,1,5.0,5.125,190.5,0.375,0.3925,0.38,4,42.1781005859375,0.0,11.5,30.0,1.0,39.5,6.375,14.0,7.5,175.26
182.88,170.0,218.0,1,17.0,1.0,185.42,0.0,0.405,0.53,6,26.0,9.0,4.5,25.0,0.0,30.5,4.5,6.5,1.0,193.04
180.34,170.0,324.5,1,6.0,12.314453125,177.8,0.625,0.4525,0.53,6,4.0,0.0,1.875,31.0,2.0,7.875,4.0,2.375,2.75,172.72
175.26,155.0,196.68418884277344,1,17.0,3.3944854736328125,172.72,0.00390625,0.4099116516113281,0.34328125,5,35.09303283691406,0.1796875,3.94439697265625,31.0,2.0,40.46875,3.0234375,3.9451904296875,7.709396362304687,177.8
182.88,155.0,46.0,1,10.0,0.0,180.34,0.5,0.409375,0.481875,6,27.5625,2.0,3.58203125,26.0,0.0,31.2391357421875,1.0,4.375,0.0,193.04
180.34,170.0,12.0,1,9.553022503852844,6.072265625,180.34,0.0,0.605,0.4509375,6,19.0,2.0,5.0,31.0,0.0,12.75,2.0,5.75,1.875,182.88
170.18,135.0,73.75,1,1.5,2.75,180.34,0.0,0.4375,0.5800000000000001,3,18.25,1.0,10.5,35.0,0.0,11.5,2.0,14.0,0.0,180.34
172.72,135.0,70.0,1,3.0,0.0,167.64,0.0,0.24,0.41765625,3,22.0,7.0,1.0,28.0,0.0,7.744140625,1.5625,1.0,0.0,180.34
172.72,135.0,44.875,1,3.0,1.125,172.72,0.0,0.38125,0.48875,3,40.375,1.0,1.75,29.0,2.0,29.375,1.4375,2.375,1.75,172.72
185.42,225.0,0.0,1,0.0,2.0,187.96,0.0,0.605,0.46125,9,0.0,6.0,0.0,28.0,0.0,0.0,0.75,0.0,0.0,185.42
177.8,199.0,0.0,1,0.5,0.0,182.88,0.0,0.5,0.615,8,0.5,3.284164428710937,0.0,34.0,1.0,2.5,2.828125,0.5,3.5,182.88
190.5,225.0,226.84375,1,2.375,6.59375,185.42,0.0,0.4471875,0.445625,9,19.5,0.6875,6.34375,34.0,0.0,20.0,0.9375,7.3125,2.34375,195.58
172.72,145.0,324.5,1,2.0,12.314453125,177.8,0.5,0.4549999999999999,0.365,4,12.0,3.5,0.5,24.0,0.0,12.0,6.375,0.5,9.0,175.26
170.18,155.0,42.0,1,3.5,0.0,180.34,0.5,0.465,0.3269140625,5,42.1781005859375,2.0234375,0.0,31.0,0.0,22.0,1.11328125,0.0,7.5,172.72
167.64,155.0,0.0,1,0.0,0.0,172.72,0.0,0.28,0.605,5,39.0,2.0,7.0,31.0,0.0,21.0,6.375,8.0,0.0,177.8
193.04,225.0,32.916015625,1,2.1484375,8.62109375,185.42,0.0,0.25107421875,0.2957769775390625,9,5.64453125,0.09832763671875,1.939453125,35.0,0.0,2.84375,0.69622802734375,2.283203125,0.62890625,195.58
175.26,155.0,57.0,1,4.5,2.0,170.18,0.0,0.455,0.47,5,13.5,0.0,3.5,24.0,0.0,32.0,1.0,4.0,2.5,182.88
182.88,205.0,41.5,1,1.0,6.0,195.58,0.015625,0.28,0.615,8,24.0,9.28125,2.2578125,35.0,0.0,13.537109375,2.25,3.0,11.435546875,193.04
187.96,225.0,0.0,1,6.75,0.25,182.88,0.0,0.41625,0.14,10,0.0,14.25,0.0,35.0,0.0,5.5,1.21875,0.0,5.375,185.42
185.42,185.0,19.75,1,1.28125,1.3125,195.58,0.0,0.5075000000000001,0.32625,7,0.625,2.077129602432251,1.15625,25.0,2.0,4.25,1.125,2.84375,6.5,187.96
187.96,185.0,38.359375,1,2.20703125,7.0703125,187.96,0.0625,0.436484375,0.5886522722244263,7,2.78125,0.5357146263122559,2.96484375,28.0,2.0,10.7265625,0.8454756736755371,3.125,11.34375,195.58
